Month,Open,High,Low,Close,Sector ID
Jan-15,,,,2616.61,4
Feb-15,,,,2537.97,4
Mar-15,,,,2429.76,4
Apr-15,,,,2459.51,4
May-15,,,,2560.72,4
Jun-15,,,,2729.47,4
Jul-15,,,,2750.69,4
Aug-15,,,,2403.15,4
Sep-15,,,,2338.38,4
Oct-15,,,,2477.89,4
Nov-15,,2552.91,,2517.32,4
Dec-15,2518.36,2595.77,2385.04,2587.77,4
Jan-16,2585.83,2658.64,2411.04,2556.05,4
Feb-16,2564.76,2567.96,2224.49,2344.98,4
Mar-16,2345.91,2550.33,2343.83,2526.07,4
Apr-16,2515.98,2578.17,2462.79,2491.7,4
May-16,2494.91,2511.15,2366.01,2461.11,4
Jun-16,2470.33,2558.31,2436.11,2546.35,4
Jul-16,2553.35,2782.29,2551.7,2751.48,4
Aug-16,2765.5,2891.08,2689.75,2865.89,4
Sep-16,2864.24,3009.69,2791.65,2931.37,4
Oct-16,2937.47,3098.08,2932.71,3031.25,4
Nov-16,3033.75,3042.01,2703.63,2920.09,4
Dec-16,2933.99,3008.98,2867.04,3001.73,4
Jan-17,3008.95,3150.62,2999.11,3089.6,4
Feb-17,3103.25,3433.04,3091.74,3361.54,4
Mar-17,3369.45,3455.94,3300.1,3426.43,4
Apr-17,3446.08,3661.76,3446.08,3580.46,4
May-17,3592.42,3605.96,3371.99,3485.97,4
Jun-17,3483.15,3515.69,3352.27,3367.26,4
Jul-17,3383.24,3757.35,3356.25,3728.91,4
Aug-17,3750.98,3870.85,3659.35,3842.87,4
Sep-17,3865.12,4028.27,3720,3767.66,4
Oct-17,3811.42,4364.51,3794.8,4320.9,4
Nov-17,4349.36,4368.4,4045.73,4182.48,4
Dec-17,4191.88,4283.89,4047.64,4208.66,4
Jan-18,4217.33,4390.66,4150.27,4345.38,4
Feb-18,4359.51,4381.75,4001.55,4222.59,4
Mar-18,4221.46,4239.74,3906.91,3940.25,4
Apr-18,3963,4206.29,3936.64,4082.18,4
May-18,4101.3,4192.97,3827.07,3987.72,4
Jun-18,3990.64,4200.15,3838.22,3947.56,4
Jul-18,3948.62,4552.57,3887.94,4539.39,4
Aug-18,4573.81,4896.08,4520.95,4687.6,4
Sep-18,4713.53,4753.6,4498.29,4669.88,4
Oct-18,4670.98,4676.35,3837.11,4037.07,4
Nov-18,4061.23,4327.72,4022.42,4265.3,4
Dec-18,4277.14,4290.38,3952.56,4214.5,4
Jan-19,4230.56,4240.4,4079.81,4132.92,4
