Month,Open,High,Low,Close,Sector ID
Jan-15,10734.81,11058.07,9873.55,10190.2,6
Feb-15,10161.08,10767.62,9874.68,10569.66,6
Mar-15,10645.18,10645.18,9233.27,9465.65,6
Apr-15,9451.37,10235.06,9418.24,9800.97,6
May-15,9861.94,10286.05,9616,9728.35,6
Jun-15,9720.78,9806.73,9037.66,9335.29,6
Jul-15,9362.38,9483.75,8479.32,8668.37,6
Aug-15,8689.04,8982.4,6774.28,7446.07,6
Sep-15,7366.87,7436.58,6513.66,6833.72,6
Oct-15,6899.96,7686.63,6799.25,7307.74,6
Nov-15,7354.34,7354.34,6922.75,7118.4,6
Dec-15,7139.37,7454.11,6746.18,7397.96,6
Jan-16,7415.08,7548.38,6353.3,6894.01,6
Feb-16,6907.07,7025.83,6169.41,6759.24,6
Mar-16,6788.87,7676.77,6763.23,7540.75,6
Apr-16,7538.26,8152.78,7281.63,7958.93,6
May-16,7962.51,8112.03,7340.26,7950.38,6
Jun-16,7977.16,8552.79,7883.12,8519.69,6
Jul-16,8568.43,9591.28,8562.3,9406.16,6
Aug-16,9469.43,10169.91,9334.27,9939.73,6
Sep-16,9942.81,10350.48,9463.52,9763.66,6
Oct-16,9808.9,10459.07,9804.42,10317.55,6
Nov-16,10330.26,11091.9,9630.22,10666.3,6
Dec-16,10711.5,10995.49,9619.72,10109.34,6
Jan-17,10127.93,11911.59,10075.73,11672.32,6
Feb-17,11701.3,12052.61,11349.44,11893.05,6
Mar-17,11929.64,12306.54,11488.41,11804.46,6
Apr-17,11833.09,12042.28,10897.92,11303.38,6
May-17,11361.76,11618.11,10736.11,11247.61,6
Jun-17,11282.99,11489.05,10844.58,11374.12,6
Jul-17,11400,12576.07,11395.77,12425.99,6
Aug-17,12476.6,13330.69,12196.4,13284.05,6
Sep-17,13307.81,14295.75,12852.26,13563.9,6
Oct-17,13709.33,15158.37,13620.79,14730.27,6
Nov-17,14814.13,15118.94,13759.64,13902.3,6
Dec-17,13965.47,15111.76,13291.13,14939.28,6
Jan-18,14987.13,16120.79,14684.2,15427.36,6
Feb-18,15513.8,15605.8,14198.99,15173.8,6
Mar-18,15154.91,15347.85,12942.51,13322.03,6
Apr-18,13414.06,14927.38,13055.48,14276.91,6
May-18,14255.88,14324.44,12941.76,13612.08,6
Jun-18,13570.98,14048.45,12593.53,13064.49,6
Jul-18,13127.93,13130.2,11622.8,12659.62,6
Aug-18,12665.37,13997.72,12388.12,13821.31,6
Sep-18,13866.68,14349.01,13227.39,13278.79,6
Oct-18,13268.22,13909.37,12251.33,12524.55,6
Nov-18,12589.52,13238.44,11567.71,11831.86,6
Dec-18,12039.81,12216.51,11173.46,11839.59,6
Jan-19,11887.17,11895.31,11043.38,11240.18,6
