Month,Open,High,Low,Close,Sector ID
Jan-15,2093.84,2249.89,2021.27,2224.52,7
Feb-15,2229.65,2332.44,2051.72,2269.06,7
Mar-15,2276.16,2329.78,2071.93,2127.41,7
Apr-15,2129.83,2252.54,2050.9,2095.16,7
May-15,2111.65,2142.31,1980.92,2069.81,7
Jun-15,2071.46,2085.65,1970.53,2022.14,7
Jul-15,2024.11,2137.91,2018.09,2064.56,7
Aug-15,2067.93,2113.35,1713.44,1834.4,7
Sep-15,1826.16,1882.12,1691.35,1841.7,7
Oct-15,1851.23,1970.56,1829.26,1917.11,7
Nov-15,1917.53,1943.03,1832.11,1901.85,7
Dec-15,1909.47,1960.68,1801.99,1957.68,7
Jan-16,1958.68,2002.32,1724.96,1838.42,7
Feb-16,1840.02,1850.85,1559.38,1582.48,7
Mar-16,1583.55,1781.76,1583.55,1775.73,7
Apr-16,1777.98,1920.05,1754.04,1846.34,7
May-16,1847.94,1896.07,1795.82,1871.71,7
Jun-16,1874.58,2000.12,1853.73,1996.05,7
Jul-16,1993.6,2085.82,1991.44,2076.58,7
Aug-16,2083.35,2132.69,2016.79,2098.41,7
Sep-16,2103.1,2153.85,1955.57,1989.59,7
Oct-16,1993.16,2063.87,1974.23,2006.11,7
Nov-16,2009.15,2039.28,1851.82,2028.73,7
Dec-16,2036.77,2036.77,1913.16,1987.58,7
Jan-17,1994.13,2210.8,1989.96,2167.72,7
Feb-17,2168.24,2272.06,2148.44,2195.78,7
Mar-17,2203.36,2285.73,2134.76,2274.42,7
Apr-17,2287.48,2358.13,2264.72,2329.75,7
May-17,2331.91,2372.33,2180.63,2220.59,7
Jun-17,2222.76,2253.09,2182.07,2225.54,7
Jul-17,2227.36,2327.37,2218.97,2323.61,7
Aug-17,2331.85,2347.63,2185.85,2261.46,7
Sep-17,2259.34,2328.34,2176.74,2206.23,7
Oct-17,2220.46,2380.65,2189.07,2349.2,7
Nov-17,2352.18,2373.76,2214.52,2320.68,7
Dec-17,2330.18,2388.84,2205.67,2381.69,7
Jan-18,2394.55,2449.88,2310.6,2319.48,7
Feb-18,2320.4,2327.21,2148.35,2223.14,7
Mar-18,2226.86,2233.52,2098.29,2125.83,7
Apr-18,2122.14,2258.12,2122.14,2238.15,7
May-18,2239.11,2255.23,2072.96,2129.3,7
Jun-18,2126.44,2126.44,1896.18,1946.64,7
Jul-18,1950.53,1990.38,1876.92,1975.25,7
Aug-18,1982.79,2145.21,1958.77,2140.72,7
Sep-18,2153.46,2157.06,1924.26,1929.43,7
Oct-18,1937.94,1989.47,1853.87,1958.13,7
Nov-18,1960.16,2003.48,1893.37,1911.27,7
Dec-18,1916.9,2013.43,1841.73,1999.18,7
Jan-19,1993.52,2008.26,1942.28,1966.18,7
