Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,2430,2489,2319,2389.35,1884528,71309,4562019217,1298522,68.9,170,-40.65,Bajaj Auto,1
Feb-15,2390,2420.05,2105,2161.8,2577734,76255,5498744183,2188583,84.9,315.05,-228.2,Bajaj Auto,1
Mar-15,2161.4,2204,1976.2,2017.35,837332,83282,1726329511,430834,51.45,227.8,-144.05,Bajaj Auto,1
Apr-15,2016,2141,1913.8,1949.4,372359,54045,755683839,100805,27.07,227.2,-66.6,Bajaj Auto,1
May-15,1955,2342.55,1938.25,2315,1212088,83054,2686003844,370656,30.58,404.3,360,Bajaj Auto,1
Jun-15,2305,2581,2175.25,2535.65,808310,51853,1902827008,280278,34.67,405.75,230.65,Bajaj Auto,1
Jul-15,2536.1,2655,2440,2519.15,902635,64203,2292605985,254049,28.15,215,-16.95,Bajaj Auto,1
Aug-15,2541,2606,2133.15,2254.9,701930,54084,1675519703,223725,31.87,472.85,-286.1,Bajaj Auto,1
Sep-15,2225,2374,2175.05,2309.75,509718,35027,1155232805,193360,37.93,198.95,84.75,Bajaj Auto,1
Oct-15,2329.7,2599,2285.95,2549.6,489950,41408,1214283415,108096,22.06,313.05,219.9,Bajaj Auto,1
Nov-15,2530.3,2555,2341,2481.55,422162,36712,1029965924,97078,23,214,-48.75,Bajaj Auto,1
Dec-15,2481.55,2550.65,2375.05,2533.5,425169,32598,1050309402,152607,35.89,175.6,51.95,Bajaj Auto,1
Jan-16,2530,2545.85,2230.1,2341.9,309332,37304,729579429,77526,25.06,315.75,-188.1,Bajaj Auto,1
Feb-16,2380,2488,2173.4,2200.4,617382,64238,1435903818,154817,25.08,314.6,-179.6,Bajaj Auto,1
Mar-16,2206.5,2455,2206.5,2406.1,374074,37316,860419412,101030,27.01,248.5,199.6,Bajaj Auto,1
Apr-16,2407,2611.7,2350.15,2484.6,407045,35201,1014511965,171805,42.21,261.55,77.6,Bajaj Auto,1
May-16,2486,2642,2366,2618.9,480114,50089,1197251997,125807,26.2,276,132.9,Bajaj Auto,1
Jun-16,2625,2702.55,2549,2686.25,472484,44921,1240311530,129652,27.44,153.55,61.25,Bajaj Auto,1
Jul-16,2689.95,2801.05,2590.55,2702,513362,44447,1375389674,192808,37.56,210.5,12.05,Bajaj Auto,1
Aug-16,2710.5,3038,2708,2980.95,422221,36220,1213760553,131502,31.15,330,270.45,Bajaj Auto,1
Sep-16,2980,3122,2820.6,2832.15,482474,37931,1423873181,181193,37.55,301.4,-147.85,Bajaj Auto,1
Oct-16,2829,2916.05,2749,2833.45,593237,35638,1681658816,245706,41.42,167.05,4.45,Bajaj Auto,1
Nov-16,2830,2910,2510,2683.75,474634,49658,1278239276,93451,19.69,400,-146.25,Bajaj Auto,1
Dec-16,2680.55,2787.9,2554.55,2633.85,285942,30183,761394152,67738,23.69,233.35,-46.7,Bajaj Auto,1
Jan-17,2640,2917.05,2556,2837.75,413756,41786,1137615028,102853,24.86,361.05,197.75,Bajaj Auto,1
Feb-17,2845.05,2873,2747.2,2758.25,320211,24933,895621769,130090,40.63,125.8,-86.8,Bajaj Auto,1
Mar-17,2780,2945.35,2758.25,2807.5,523092,27314,1497214397,303176,57.96,187.1,27.5,Bajaj Auto,1
Apr-17,2800,2908.6,2755,2868.35,414749,22237,1174008223,240077,57.88,153.6,68.35,Bajaj Auto,1
May-17,2876.25,3046.15,2757,2843.95,695181,30792,2017213511,383558,55.17,289.15,-32.3,Bajaj Auto,1
Jun-17,2843.95,2927.2,2765,2790.5,317670,22060,900444509,94142,29.64,162.2,-53.45,Bajaj Auto,1
Jul-17,2775,2867.45,2695,2807.6,731661,37639,2028525824,452959,61.91,172.45,32.6,Bajaj Auto,1
Aug-17,2810.65,2988.45,2701,2808.45,514801,24083,1453570710,288101,55.96,287.45,-2.2,Bajaj Auto,1
Sep-17,2830,3181,2830,3108.15,403026,27046,1209623647,119246,29.59,351,278.15,Bajaj Auto,1
Oct-17,3171.6,3337.4,3107.5,3260,364856,20454,1165800587,151399,41.5,229.9,88.4,Bajaj Auto,1
Nov-17,3273,3371.5,3150,3311.7,216365,16141,706372629,50778,23.47,221.5,38.7,Bajaj Auto,1
Dec-17,3344,3381,3094.55,3323.2,2292085,23682,7653443196,2082880,90.87,286.45,-20.8,Bajaj Auto,1
Jan-18,3326.6,3402.4,3145,3338.8,306656,21365,1006007135,130569,42.58,257.4,12.2,Bajaj Auto,1
Feb-18,3325,3472.6,2956.35,3018.8,315877,23008,999676186,89210,28.24,516.25,-306.2,Bajaj Auto,1
