Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,,Stock Name,Sector ID
Oct-16,570,674.9,570,619.3,12024544,325589,7387758014,2885810,24,104.9,49.3,,Endurance Tech,1
Nov-16,621,648,518.25,592,2070008,111485,1213505244,513866,24.82,129.75,-29,,Endurance Tech,1
Dec-16,592,601,535,571.55,796383,43188,456933611,358711,45.04,66,-20.45,,Endurance Tech,1
Jan-17,572,632.3,555.2,611.15,599805,40525,357721001,208390,34.74,77.1,39.15,,Endurance Tech,1
Feb-17,615,725.55,607.65,706.6,526998,44734,349796613,161171,30.58,117.9,91.6,,Endurance Tech,1
Mar-17,705.5,769.5,682.95,764.3,385660,28964,274368186,111719,28.97,86.55,58.8,,Endurance Tech,1
Apr-17,778,855,767.3,809.15,325010,20757,265432646,99407,30.59,87.7,31.15,,Endurance Tech,1
May-17,811,854.4,782,840.6,289621,15190,234152028,159905,55.21,72.4,29.6,,Endurance Tech,1
Jun-17,828.9,950.9,822.9,877.55,474902,14338,422648434,375950,79.16,128,48.65,,Endurance Tech,1
Jul-17,872.8,935,855.1,903.05,663329,11228,592791964,549819,82.89,79.9,30.25,,Endurance Tech,1
Aug-17,912,1024.95,894,993.5,528655,13552,492948871,408849,77.34,130.95,81.5,,Endurance Tech,1
Sep-17,999,1075,966,990.3,889273,6281,894656036,840313,94.49,109,-8.7,,Endurance Tech,1
Oct-17,990,1169.05,965.8,1158.6,104083,9489,114130839,41100,39.49,203.25,168.6,,Endurance Tech,1
Nov-17,1156,1300.55,1091,1265.15,82264,11834,97466226,38837,47.21,209.55,109.15,,Endurance Tech,1
Dec-17,1276,1382.4,1195,1355,1378697,8653,1735841997,32682,2.37,187.4,79,,Endurance Tech,1
Jan-18,1376.5,1397,1153,1196.1,102191,10568,130076508,66990,65.55,244,-180.4,,Endurance Tech,1
Feb-18,1179.95,1390,1040,1376.55,108159,6635,135917299,70200,64.9,350,196.6,,Endurance Tech,1
Mar-18,1375,1422,1149.8,1263.55,405631,8399,525337050,147105,36.27,272.2,-111.45,,Endurance Tech,1
Apr-18,1284.9,1359.25,1245.05,1276.4,179361,3442,232398827,163778,91.31,114.2,-8.5,,Endurance Tech,1
May-18,1278.05,1324,1140,1305.5,276376,8896,338541015,222046,80.34,184,27.45,,Endurance Tech,1
Jun-18,1299.05,1312.2,1183.65,1250.7,67505,4694,83957875,49594,73.47,128.55,-48.35,,Endurance Tech,1
Jul-18,1244.7,1399,1179,1386.7,59290,5764,76368880,37276,62.87,220,142,,Endurance Tech,1
Aug-18,1386,1579,1368.2,1523.65,135863,12653,204265032,61923,45.58,210.8,137.65,,Endurance Tech,1
Sep-18,1513,1544.95,1305,1311.7,29024,4767,41163180,12275,42.29,239.95,-201.3,,Endurance Tech,1
Oct-18,1275,1359.7,1066.05,1205.3,103923,7403,118615612,55954,53.84,293.65,-69.7,,Endurance Tech,1
Nov-18,1239.9,1300.2,1065,1117.05,55727,5585,63353273,13963,25.06,235.2,-122.85,,Endurance Tech,1
Dec-18,1125.2,1295.8,1092.05,1277.35,49291,4524,57715431,10117,20.53,203.75,152.15,,Endurance Tech,1
Jan-19,1268.4,1281.65,1225.6,1234.5,8958,521,11192527,1658,18.51,56.05,-33.9,,Endurance Tech,1
