Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,3100,3149.2,2797.2,2869.55,521052,99576,1522569911,214782,41.22,352,-230.45,Hero Moto Corp,1
Feb-15,2874.5,2889.4,2602.2,2682.65,1939281,153623,5249337995,718323,37.04,287.2,-191.85,Hero Moto Corp,1
Mar-15,2687,2703.25,2556.4,2642.6,859722,86460,2259155239,511600,59.51,146.85,-44.4,Hero Moto Corp,1
Apr-15,2633.9,2680,2294,2329.45,1839440,98098,4463623552,1491769,81.1,386,-304.45,Hero Moto Corp,1
May-15,2345,2705,2252,2696,727553,74326,1790210185,208736,28.69,453,351,Hero Moto Corp,1
Jun-15,2680.5,2738.6,2485,2524.3,495167,36621,1263475060,199612,40.31,253.6,-156.2,Hero Moto Corp,1
Jul-15,2552,2747.25,2500,2674.45,484484,43011,1261832958,131137,27.07,247.25,122.45,Hero Moto Corp,1
Aug-15,2655,2800,2364.5,2397.35,1020342,58857,2609306643,469572,46.02,435.5,-257.65,Hero Moto Corp,1
Sep-15,2394.95,2448,2259.1,2395.65,507558,32246,1191329708,218376,43.02,188.9,0.7,Hero Moto Corp,1
Oct-15,2395,2665,2393.6,2585,396564,34245,1014184669,86401,21.79,271.4,190,Hero Moto Corp,1
Nov-15,2581,2732,2538.4,2702.65,1076463,51606,2839466086,329617,30.62,193.6,121.65,Hero Moto Corp,1
Dec-15,2710,2740,2500,2695.25,733678,30677,1895762962,522919,71.27,240,-14.75,Hero Moto Corp,1
Jan-16,2695,2696.05,2375,2562.8,351813,38647,884799684,97452,27.7,321.05,-132.2,Hero Moto Corp,1
Feb-16,2565.65,2730.1,2440,2499.65,479363,40167,1230124289,193623,40.39,290.1,-66,Hero Moto Corp,1
Mar-16,2508.5,2985,2506,2943.4,1103612,57344,3128122601,684131,61.99,479,434.9,Hero Moto Corp,1
Apr-16,2939,3170,2870,2901.3,1324291,45157,3988755542,991512,74.87,300,-37.7,Hero Moto Corp,1
May-16,2899.4,3124.3,2829,3099.15,566019,51640,1668554065,175318,30.97,295.3,199.75,Hero Moto Corp,1
Jun-16,3100.05,3222.35,2956,3180.85,604532,49582,1855290862,274208,45.36,266.35,80.8,Hero Moto Corp,1
Jul-16,3185.5,3306.1,3090.7,3206.45,389675,41522,1254201382,115373,29.61,215.4,20.95,Hero Moto Corp,1
Aug-16,3211,3576,3200,3547.5,810456,62380,2742202111,271292,33.47,376,336.5,Hero Moto Corp,1
Sep-16,3551,3739.9,3392,3414.35,493154,52989,1747675250,139301,28.25,347.9,-136.65,Hero Moto Corp,1
Oct-16,3469,3600,3300.15,3354.6,675327,50240,2313843345,318352,47.14,299.85,-114.4,Hero Moto Corp,1
Nov-16,3370,3400,2844.4,3169,651628,63971,2002539454,247954,38.05,555.6,-201,Hero Moto Corp,1
Dec-16,3159.5,3344,2957,3044.75,385426,37642,1211043899,133068,34.52,387,-114.75,Hero Moto Corp,1
Jan-17,3045,3265,2966,3179.25,655468,46991,2038334513,344077,52.49,299,134.25,Hero Moto Corp,1
Feb-17,3194,3312,3054,3135,558978,50168,1780600587,174733,31.26,258,-59,Hero Moto Corp,1
Mar-17,3149.05,3406,3149.05,3223.85,1795765,49958,5984224556,1444774,80.45,256.95,74.8,Hero Moto Corp,1
Apr-17,3250,3360.05,3180,3310.7,269033,27443,872197873,105535,39.23,180.05,60.7,Hero Moto Corp,1
May-17,3315.65,3760,3271.9,3742.8,667717,42912,2368631934,332662,49.82,488.1,427.15,Hero Moto Corp,1
Jun-17,3741,3880.25,3636.55,3696.7,342907,26063,1288934907,152500,44.47,243.7,-44.3,Hero Moto Corp,1
Jul-17,3695,3807.3,3607,3654.1,3092917,45871,11462141222,2381605,77,200.3,-40.9,Hero Moto Corp,1
Aug-17,3665.1,4200,3665.1,3998.1,941416,41194,3664381299,644432,68.45,534.9,333,Hero Moto Corp,1
Sep-17,4001.95,4090,3677.95,3781.2,417447,29904,1614546613,185231,44.37,412.05,-220.75,Hero Moto Corp,1
