Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,232.95,268,229.25,252.3,95308,3648,23705749,71853,75.39,38.75,19.35,Adc,10
Feb-15,255,271.95,233,240.4,429045,3828,103098980,355893,82.95,38.95,-14.6,Adc,10
Mar-15,238.4,314.8,234.1,313.4,238259,6907,64854655,151605,63.63,80.7,75,Adc,10
Apr-15,322,410,289,328.2,322982,11407,111613288,210392,65.14,121,6.2,Adc,10
May-15,328,349.5,271.5,278.9,71139,2239,20982633,48360,67.98,78,-49.1,Adc,10
Jun-15,276,320,245.3,282.4,102218,1738,26931205,83949,82.13,74.7,6.4,Adc,10
Jul-15,283.1,397.8,283.1,298.4,143279,3868,48559773,106454,74.3,114.7,15.3,Adc,10
Aug-15,309.5,382.4,285,303,3315694,3245,1094493465,3268170,98.57,97.4,-6.5,Adc,10
Sep-15,303,308.5,260.1,295,53252,996,15351006,34292,64.4,48.4,-8,Adc,10
Oct-15,289.3,354.9,285,295,35730,825,10682119,29393,82.26,69.9,5.7,Adc,10
Nov-15,283.2,323,267,302.1,26469,803,7748214,17781,67.18,56,18.9,Adc,10
Dec-15,301.2,327,280.2,300,37321,897,11246294,22305,59.77,46.8,-1.2,Adc,10
Jan-16,305,309.7,259,270.2,15164,549,4277209,12075,79.63,50.7,-34.8,Adc,10
Feb-16,278.8,278.8,220,229.6,27824,527,6588866,26001,93.45,58.8,-49.2,Adc,10
Mar-16,232.7,270.3,232,246.8,35272,479,8611974,32922,93.34,38.3,14.1,Adc,10
Apr-16,249.9,266.9,237,254.4,17047,402,4258307,13423,78.74,29.9,4.5,Adc,10
May-16,250,274.7,240,245.1,24025,492,6152691,18575,77.32,34.7,-4.9,Adc,10
Jun-16,245,255.8,224,242.75,101650,1182,23875682,86187,84.79,31.8,-2.25,Adc,10
Jul-16,238,284.7,230.2,269.95,79848,1134,20649046,56473,70.73,54.5,31.95,Adc,10
Aug-16,257,308,257,290.5,99087,1310,28431626,73842,74.52,51,33.5,Adc,10
Sep-16,288,324.8,267.05,283.8,118753,1591,34575273,95666,80.56,57.75,-4.2,Adc,10
Oct-16,279.5,324,279.5,313.05,67527,1427,20465032,53766,79.62,44.5,33.55,Adc,10
Nov-16,306.15,310,245,283.75,33808,648,9206237,29088,86.04,65,-22.4,Adc,10
Dec-16,280,299,257,261,22100,403,6077789,19315,87.4,42,-19,Adc,10
Jan-17,261,290.75,260,268.15,37868,416,10330243,32725,86.42,30.75,7.15,Adc,10
Feb-17,268.2,283,248.7,256,25248,464,6560237,21590,85.51,34.3,-12.2,Adc,10
Mar-17,260,279.9,244,260.6,34844,539,8908558,28099,80.64,35.9,0.6,Adc,10
Apr-17,253.85,268,251.15,256.9,27542,481,7133709,21494,78.04,16.85,3.05,Adc,10
May-17,255,279.9,229,233.6,45112,890,11806542,33773,74.86,50.9,-21.4,Adc,10
Jun-17,233,251,217,230,17088,498,3939445,14290,83.63,34,-3,Adc,10
Jul-17,230,270,225,251.95,70462,1282,17705828,56533,80.23,45,21.95,Adc,10
Aug-17,247.65,250,201,218.9,22553,440,4977491,20012,88.73,49,-28.75,Adc,10
Sep-17,212.2,240,212.2,220.35,26770,430,6036387,22404,83.69,27.8,8.15,Adc,10
Oct-17,220.35,239.95,211.5,226.65,35774,421,7932531,26696,74.62,28.45,6.3,Adc,10
Nov-17,226,240,201.2,219.45,27313,610,5961638,21992,80.52,38.8,-6.55,Adc,10
Dec-17,226.5,245,211.5,235.1,17227,364,3877748,15293,88.77,33.5,8.6,Adc,10
Jan-18,234,278,221,230.65,72089,1208,17993515,43325,60.1,57,-3.35,Adc,10
Feb-18,225.2,256.8,201,227.4,79490,778,18210842,29846,37.55,55.8,2.2,Adc,10
Mar-18,227.1,244,195.25,199.75,71733,688,15769361,37073,51.68,48.75,-27.35,Adc,10
Apr-18,201.6,234.8,201.6,215.7,53375,575,11600608,28323,53.06,33.2,14.1,Adc,10
May-18,218.4,226,182,196,40459,729,8248873,24267,59.98,44,-22.4,Adc,10
Jun-18,194,200.9,174.55,190.7,22612,545,4211357,8666,38.32,26.35,-3.3,Adc,10
Jul-18,183.05,218.95,175,190,38030,684,7389024,8851,23.27,43.95,6.95,Adc,10
Aug-18,206,251,180.3,225.45,70298,918,14858735,28697,40.82,70.7,19.45,Adc,10
Sep-18,223.2,244.9,181.55,182.1,32300,488,7304769,15703,48.62,63.35,-41.1,Adc,10
Oct-18,174.55,234.95,172.1,227.8,34180,657,7122012,26330,77.03,62.85,53.25,Adc,10
Nov-18,229.95,238.8,181,212,50056,1256,10960263,40340,80.59,57.8,-17.95,Adc,10
Dec-18,207.1,215,191.2,212.9,11201,289,2307883,9000,80.35,23.8,5.8,Adc,10
Jan-19,207.35,215,203.75,207.5,2167,62,457073,1671,77.11,11.25,0.15,Adc,10
