Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,358,394.45,339.3,372.75,5560619,143839,2012763867,2429742,43.7,55.15,14.75,Airtel,10
Feb-15,373,377.1,341,357.2,4369322,136285,1554839491,1614336,36.95,36.1,-15.8,Airtel,10
Mar-15,358.75,404.25,339.05,393.9,10542135,247691,4054929354,5027333,47.69,65.2,35.15,Airtel,10
Apr-15,394.7,425.7,371.85,381.65,6345103,158717,2568420098,2670972,42.1,53.85,-13.05,Airtel,10
May-15,377,434.7,374.05,425.3,7076146,136952,2832493808,2944394,41.61,60.65,48.3,Airtel,10
Jun-15,416.9,437.2,403.5,419.9,6044738,87139,2535110929,3093992,51.18,33.7,3,Airtel,10
Jul-15,422,452.45,404.3,418.6,4817950,81914,2074028640,2104915,43.69,48.15,-3.4,Airtel,10
Aug-15,419.5,427.6,332.6,354.5,4918622,96263,1898784869,1340282,27.25,95,-65,Airtel,10
Sep-15,352,366,315.65,338,5794823,80378,1979428383,3134274,54.09,50.35,-14,Airtel,10
Oct-15,338.2,374.35,335.8,348.75,4109165,62968,1439907971,1584405,38.56,38.55,10.55,Airtel,10
Nov-15,348,354.1,317.9,334.5,3608897,44185,1214796523,1897177,52.57,36.2,-13.5,Airtel,10
Dec-15,335,341.2,304.65,339.9,4840420,66733,1557475706,1963969,40.57,36.55,4.9,Airtel,10
Jan-16,338,343.9,282.3,289.7,5078987,82884,1559649154,1978593,38.96,61.6,-48.3,Airtel,10
Feb-16,291,334.8,291,316.75,9328164,94389,2913014259,5863815,62.86,43.8,25.75,Airtel,10
Mar-16,315.3,361.2,310.2,350.9,6921492,64304,2366302716,4403445,63.62,51,35.6,Airtel,10
Apr-16,350.35,384.9,325.7,363.8,3495441,73996,1240742529,669834,19.16,59.2,13.45,Airtel,10
May-16,364,377.55,339,351.65,5560316,78947,1965284457,2673986,48.09,38.55,-12.35,Airtel,10
Jun-16,354.65,369.3,337.25,366.15,3234013,60673,1150096423,1152172,35.63,32.05,11.5,Airtel,10
Jul-16,367.1,383.4,353.2,362.05,13306457,79008,4862617218,10189186,76.57,30.2,-5.05,Airtel,10
Aug-16,362.05,370.8,329,331.85,4291126,70403,1495482981,1530863,35.68,41.8,-30.2,Airtel,10
Sep-16,331,332.15,302,314.05,12714097,116583,3986978276,6741449,53.02,30.15,-16.95,Airtel,10
Oct-16,315,326.2,296.6,318.5,2905050,44810,908852288,767409,26.42,29.6,3.5,Airtel,10
Nov-16,320,326.8,283.95,324.5,3300189,53789,1009183857,1039302,31.49,42.85,4.5,Airtel,10
Dec-16,325.55,337.05,289.25,305.35,2728128,78946,854354034,796637,29.2,47.8,-20.2,Airtel,10
Jan-17,305.25,370,299.55,347.9,4547940,96781,1487766783,870173,19.13,70.45,42.65,Airtel,10
Feb-17,347.9,400.65,340.8,365.15,6831542,86304,2492318817,1948984,28.53,59.85,17.25,Airtel,10
Mar-17,368,369.45,325.5,349.95,24405352,88153,8688832564,20875785,85.54,43.95,-18.05,Airtel,10
Apr-17,350,361.35,333.25,354.6,4726962,45256,1626282010,2409596,50.98,28.1,4.6,Airtel,10
May-17,350.15,381.5,336.95,371.8,7503227,86590,2760068083,3332338,44.41,44.55,21.65,Airtel,10
Jun-17,370,386.45,361,379.15,6639494,49392,2445216382,4564928,68.75,25.45,9.15,Airtel,10
Jul-17,382,431,373.35,417.8,9705730,101067,3927766811,4830053,49.76,57.65,35.8,Airtel,10
Aug-17,415.65,438,403.7,427.85,2499266,35025,1048057475,709547,28.39,34.3,12.2,Airtel,10
Sep-17,429,430.15,370,388.65,2480960,30843,985376827,662941,26.72,60.15,-40.35,Airtel,10
Oct-17,389.65,519.35,373.1,497.65,9534448,80327,4353945005,1925667,20.2,146.25,108,Airtel,10
Nov-17,518,565,480,496.85,475082156,288437,2.41371E+11,388553114,81.79,85,-21.15,Airtel,10
Dec-17,496.85,547.2,477,529.4,19791369,72147,10307507553,16154933,81.63,70.2,32.55,Airtel,10
Jan-18,531.5,542.25,422.2,439.65,53981181,111769,26795472242,47910550,88.75,120.05,-91.85,Airtel,10
Feb-18,435,449.15,403,427.35,6351520,76385,2723273652,1966308,30.96,46.15,-7.65,Airtel,10
Mar-18,429.5,436.7,391.1,398.9,9219414,80610,3818124217,2695606,29.24,45.6,-30.6,Airtel,10
Apr-18,401.4,427,374.6,409.55,7816531,72591,3079706062,2413350,30.87,52.4,8.15,Airtel,10
May-18,411,418.25,352.1,373.8,5573604,68906,2142977547,1187678,21.31,66.15,-37.2,Airtel,10
Jun-18,378.45,394,357.6,381,6134215,50368,2315595997,3195514,52.09,36.4,2.55,Airtel,10
Jul-18,381,392.05,331.2,390.7,13412600,63947,4646766901,9234353,68.85,60.85,9.7,Airtel,10
Aug-18,391.5,398.55,362.8,383.35,6381411,52285,2398765012,3024852,47.4,35.75,-8.15,Airtel,10
Sep-18,385.5,397.5,335.45,338.25,5784960,51637,2153950147,2880293,49.79,62.05,-47.25,Airtel,10
Oct-18,340,340.2,277,292.15,34314349,75987,10116898330,28944153,84.35,63.2,-47.85,Airtel,10
Nov-18,294.5,339.75,287.55,313.55,7766319,66129,2485061725,1816363,23.39,52.2,19.05,Airtel,10
Dec-18,315,340,282.25,312.9,8305963,75906,2595422481,1082891,13.04,57.75,-2.1,Airtel,10
Jan-19,316.8,327.6,308.15,324.45,15019360,14593,4709278531,13251347,88.23,19.45,7.65,Airtel,10
