Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,69.8,74.8,66.05,69.35,242190,2667,16988319,242190,100,8.75,-0.45,Birla Cable,10
Feb-15,70,72,58.2,60.75,200003,1866,12586306,200003,100,13.8,-9.25,Birla Cable,10
Mar-15,62,62.9,48.15,52.85,298622,2399,16554813,298622,100,14.75,-9.15,Birla Cable,10
Apr-15,53.3,66,52,62.85,216614,2234,13343066,216614,100,14,9.55,Birla Cable,10
May-15,62.75,64.3,50.3,51.35,133842,846,7606805,133842,100,14,-11.4,Birla Cable,10
Jun-15,50.75,62.05,49.05,62.05,189378,910,10464154,189378,100,13,11.3,Birla Cable,10
Jul-15,64.75,74.5,63.05,67.9,434894,2083,29905330,434894,100,11.45,3.15,Birla Cable,10
Aug-15,67,68.5,44,46.85,320068,1450,18138235,320068,100,24.5,-20.15,Birla Cable,10
Sep-15,44.55,48.2,40,47.9,125191,802,5418150,125191,100,8.2,3.35,Birla Cable,10
Oct-15,49,50.85,42.8,46.95,130559,729,6054004,130559,100,8.05,-2.05,Birla Cable,10
Nov-15,49.25,53.45,45.05,51.65,123626,723,6246255,123626,100,8.4,2.4,Birla Cable,10
Dec-15,52.5,59,50.55,55.3,193656,1267,10724767,168201,86.86,8.45,2.8,Birla Cable,10
Jan-16,56,59.1,43.15,47,115676,855,5850739,115676,100,15.95,-9,Birla Cable,10
Feb-16,46.65,49,30.45,32.15,334880,969,12042920,334880,100,18.55,-14.5,Birla Cable,10
Mar-16,33,35.1,29.35,31,367710,803,11638124,367710,100,5.75,-2,Birla Cable,10
Apr-16,31.2,37.4,30.25,33.5,104881,502,3697518,104881,100,7.15,2.3,Birla Cable,10
May-16,35,40.2,33.55,35.4,139892,642,5184938,139892,100,6.65,0.4,Birla Cable,10
Jun-16,35.4,38.25,33.4,36.45,172449,749,6139349,172449,100,4.85,1.05,Birla Cable,10
Jul-16,36.25,42,35.5,38.5,563675,1888,22503949,563675,100,6.5,2.25,Birla Cable,10
Aug-16,39.35,40.2,33.4,34,237787,1196,8600498,237787,100,6.8,-5.35,Birla Cable,10
Sep-16,34.1,40.5,32.7,35.9,412668,1350,15365864,412668,100,7.8,1.8,Birla Cable,10
Oct-16,35.2,49.4,34.8,43.8,525602,1637,22281734,525602,100,14.6,8.6,Birla Cable,10
Nov-16,42.25,46.5,32.1,39.5,197794,869,7763173,191894,97.02,14.4,-2.75,Birla Cable,10
Dec-16,40.45,43.65,36.8,38.7,142804,765,5927335,121279,84.93,6.85,-1.75,Birla Cable,10
Jan-17,38.2,49,38,43.7,223329,1304,9751602,163914,73.4,11,5.5,Birla Cable,10
Feb-17,43.8,48.5,35.8,40.25,217778,1105,9391018,161231,74.03,12.7,-3.55,Birla Cable,10
Mar-17,39.8,43.3,36.85,39.05,224874,1394,8784226,143099,63.64,6.45,-0.75,Birla Cable,10
Apr-17,38.5,52.85,38.5,44.8,809337,5212,38146346,418877,51.76,14.35,6.3,Birla Cable,10
May-17,45,49.85,38,40.2,313551,2678,14044504,200056,63.8,11.85,-4.8,Birla Cable,10
Jun-17,41.95,46,39.55,41.55,167156,1389,7109888,121045,72.41,6.45,-0.4,Birla Cable,10
Jul-17,42.9,52.8,41.6,47.9,721031,5923,34658791,395293,54.82,11.2,5,Birla Cable,10
Aug-17,48.15,48.35,38.9,41.5,222537,1922,9438745,157160,70.62,9.45,-6.65,Birla Cable,10
Sep-17,42,49.1,39.45,41,364550,2381,16186114,257070,70.52,9.65,-1,Birla Cable,10
Oct-17,41,63.3,40,55.65,1455872,11058,79220456,742920,51.03,23.3,14.65,Birla Cable,10
Nov-17,55.8,68.15,53.65,68.15,442567,2530,26672996,442567,100,14.5,12.35,Birla Cable,10
Dec-17,70,72,61.7,64.75,227709,1715,15190710,227709,100,10.3,-5.25,Birla Cable,10
Jan-18,64.9,67,53.05,55.1,199112,1365,12304544,199112,100,13.95,-9.8,Birla Cable,10
Feb-18,55,71.65,50.1,62.9,365727,2215,23704750,311952,85.3,21.55,7.9,Birla Cable,10
Mar-18,62.9,65.9,56,60.95,136103,1287,8425302,100649,73.95,9.9,-1.95,Birla Cable,10
Apr-18,60.95,102.9,60.95,84.9,961235,11003,83882401,383580,39.9,41.95,23.95,Birla Cable,10
May-18,88.8,97,68,88.95,254360,1929,20409541,254360,100,29,0.15,Birla Cable,10
Jun-18,89,92.5,75.3,78.95,171323,1896,14293223,171323,100,17.2,-10.05,Birla Cable,10
Jul-18,78,91.95,74.6,88,142364,1581,11942983,133877,94.04,17.35,10,Birla Cable,10
Aug-18,87,179.7,87,163.85,1770015,17454,257142080,616131,34.81,92.7,76.85,Birla Cable,10
Sep-18,172,179.3,143.9,148.6,786353,11788,128763501,299282,38.06,35.4,-23.4,Birla Cable,10
Oct-18,149.05,163.8,123.55,163.8,562075,8642,81225901,223927,39.84,40.25,14.75,Birla Cable,10
Nov-18,171.95,230,167,216.75,1347431,19208,272228202,522171,38.75,63,44.8,Birla Cable,10
Dec-18,220,220.8,171.3,196.8,699386,15573,135625802,215323,30.79,49.5,-23.2,Birla Cable,10
Jan-19,195.85,204.1,191.25,195.6,50375,1657,9971217,17541,34.82,12.85,-0.25,Birla Cable,10
