Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,17.8,38.65,17.8,35.6,963615,4171,30460292,615803,63.91,20.85,17.8,21st Mgn,2
Feb-15,33.85,37.5,27,34,791149,3605,26053318,599545,75.78,10.5,0.15,21st Mgn,2
Mar-15,33,45.2,33,41.5,849960,4073,34573902,717647,84.43,12.2,8.5,21st Mgn,2
Apr-15,41.8,52,34.45,37.8,1376975,6489,61214441,1036622,75.28,17.55,-4,21st Mgn,2
May-15,38,40.45,32.15,35.5,623517,1583,22977358,543327,87.14,8.3,-2.5,21st Mgn,2
Jun-15,36.95,40.4,29,37.5,328954,1785,11575210,252096,76.64,11.4,0.55,21st Mgn,2
Jul-15,34.6,45.45,34.6,39.95,724897,3116,29590515,537091,74.09,10.85,5.35,21st Mgn,2
Aug-15,44.65,49.9,29.8,36.05,501622,2424,20873122,365723,72.91,20.1,-8.6,21st Mgn,2
Sep-15,35,36,26.7,32.05,216592,971,6905015,170883,78.9,9.3,-2.95,21st Mgn,2
Oct-15,32.4,32.75,28.65,32.6,289017,1082,9008250,231997,80.27,4.1,0.2,21st Mgn,2
Nov-15,31.95,34.7,31.35,31.75,548858,756,17814018,480603,87.56,3.35,-0.2,21st Mgn,2
Dec-15,31.75,33.45,27.35,33.45,167847,370,5135592,161646,96.31,6.1,1.7,21st Mgn,2
Jan-16,33.15,35.3,29.2,30,529961,604,17863020,509422,96.12,6.1,-3.15,21st Mgn,2
Feb-16,30.3,30.3,23.9,23.9,117468,243,3253654,100300,85.38,6.4,-6.4,21st Mgn,2
Mar-16,23.45,29.5,23,27.5,194367,311,5313765,183773,94.55,6.5,4.05,21st Mgn,2
Apr-16,27.6,28.9,26.05,26.35,244209,285,6749842,229266,93.88,2.85,-1.25,21st Mgn,2
May-16,26.5,27,21.65,21.65,155913,360,3955236,132699,85.11,5.35,-4.85,21st Mgn,2
Jun-16,21.25,21.25,17,19.7,127043,264,2303511,125422,98.72,4.25,-1.55,21st Mgn,2
Jul-16,19.95,20.45,16.65,17.15,72094,297,1302868,65256,90.52,3.8,-2.8,21st Mgn,2
Aug-16,16.85,17.65,15.9,16.6,39266,220,652884,36877,93.92,1.75,-0.25,21st Mgn,2
Sep-16,16.6,20.6,16.35,20.1,51974,200,969741,50779,97.7,4.25,3.5,21st Mgn,2
Oct-16,20.45,25.5,20,24.95,112410,257,2531840,107663,95.78,5.5,4.5,21st Mgn,2
Nov-16,24.8,25.4,20.8,20.8,28326,106,672981,27575,97.35,4.6,-4,21st Mgn,2
Dec-16,20.4,21.95,20.4,20.4,20966,83,436418,20632,98.41,1.55,0,21st Mgn,2
Jan-17,20.4,20.8,18.2,18.25,11027,84,213594,9325,84.57,2.6,-2.15,21st Mgn,2
Feb-17,17.95,19.5,17.25,18,484428,263,9080053,473398,97.72,2.25,0.05,21st Mgn,2
Mar-17,17.75,19.4,16.35,18.25,73770,199,1309527,69250,93.87,3.05,0.5,21st Mgn,2
Apr-17,18.5,25.35,18.5,25.35,87133,214,1962633,86578,99.36,6.85,6.85,21st Mgn,2
May-17,25.85,27,22.5,22.8,78996,237,1992103,76220,96.49,4.5,-3.05,21st Mgn,2
Jun-17,22.8,26.75,22.35,24.3,54516,159,1350862,51649,94.74,4.4,1.5,21st Mgn,2
Jul-17,24.75,25.9,23.25,24.25,107995,267,2696700,103123,95.49,2.65,-0.5,21st Mgn,2
Aug-17,24.7,24.75,22.15,23.4,107651,272,2555433,102613,95.32,2.6,-1.3,21st Mgn,2
Sep-17,23.85,23.85,20.15,22.15,84428,181,1789128,83336,98.71,3.7,-1.7,21st Mgn,2
Oct-17,22.55,24.65,21.75,23.05,60118,252,1421958,58469,97.26,2.9,0.5,21st Mgn,2
Nov-17,23.5,29.75,22.15,29.2,145879,447,3846677,131981,90.47,7.6,5.7,21st Mgn,2
Dec-17,29.4,29.75,26.45,28.75,309900,276,8647406,307891,99.35,3.3,-0.65,21st Mgn,2
Jan-18,29.3,40.6,28.25,40.4,251121,614,9163622,250962,99.94,12.35,11.1,21st Mgn,2
Feb-18,40.8,45.45,38.2,40,198822,452,8296954,198822,100,7.25,-0.8,21st Mgn,2
Mar-18,39.5,39.95,32.35,33.6,228760,268,7803250,228760,100,7.6,-5.9,21st Mgn,2
Apr-18,34.25,46,34.25,46,546874,487,23828547,541365,98.99,11.75,11.75,21st Mgn,2
May-18,46.9,47.4,38.35,38.35,97693,349,4256687,93032,95.23,9.05,-8.55,21st Mgn,2
Jun-18,37.6,38.35,35.55,36.5,17827,111,664787,16941,95.03,2.8,-1.1,21st Mgn,2
Jul-18,36.55,37.2,33,37.2,66168,152,2325392,55960,84.57,4.2,0.65,21st Mgn,2
Aug-18,37.9,41.75,35.25,35.25,25303,204,978313,22226,87.84,6.5,-2.65,21st Mgn,2
Sep-18,34.55,34.55,29.4,29.4,17358,94,573017,17287,99.59,5.15,-5.15,21st Mgn,2
Oct-18,28.85,29.9,26.1,26.1,4451,43,125901,4451,100,3.8,-2.75,21st Mgn,2
Nov-18,25.6,25.6,22.6,22.6,9539,68,230069,9034,94.71,3,-3,21st Mgn,2
Dec-18,22.6,25.5,22.15,23.7,19115,92,459703,17775,92.99,3.35,1.1,21st Mgn,2
Jan-19,24.15,25.05,24.15,24.95,2942,12,71471,2942,100,0.9,0.8,21st Mgn,2
