Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Sep-17,261.2,264,173.55,183.65,25143060,171745,5035982434,17791142,70.76,90.45,-77.55,AB Capital ,2
Oct-17,186.3,189.1,174,178.15,11121237,96679,2013319605,5717340,51.41,15.1,-8.15,AB Capital ,2
Nov-17,179.3,213.8,177.7,194.65,27800323,238281,5527013138,11275875,40.56,36.1,15.35,AB Capital ,2
Dec-17,195.3,196.8,179.15,184.1,12362742,86054,2320862598,7418147,60,17.65,-11.2,AB Capital ,2
Jan-18,184.75,189.35,170,171.1,10340030,84831,1878856229,5076656,49.1,19.35,-13.65,AB Capital ,2
Feb-18,171,175.3,155.5,166.6,8024665,55642,1331318309,3596995,44.82,19.8,-4.4,AB Capital ,2
Mar-18,165.15,166.85,143.8,145.85,12009828,61271,1840905445,7920520,65.95,23.05,-19.3,AB Capital ,2
Apr-18,147,164.15,147,159.7,5625340,44417,884304624,2459671,43.72,17.15,12.7,AB Capital ,2
May-18,160,166,140.8,146.5,7759779,61449,1197485527,3814122,49.15,25.2,-13.5,AB Capital ,2
Jun-18,147.25,147.25,125.6,133,4565737,38230,627452474,2181040,47.77,21.65,-14.25,AB Capital ,2
Jul-18,134.1,149.7,123.65,146.8,4905002,47011,662428888,2045155,41.7,26.05,12.7,AB Capital ,2
Aug-18,147,152.35,136.85,141.1,8560165,50883,1248088855,5214200,60.91,15.5,-5.9,AB Capital ,2
Sep-18,141.5,143.6,112,115,3973593,36121,501299600,1702646,42.85,31.6,-26.5,AB Capital ,2
Oct-18,115.5,115.55,90.1,104.35,6748571,61834,696330680,2519703,37.34,25.45,-11.15,AB Capital ,2
Nov-18,105,116.9,101.1,105,7041796,41208,760946567,1435490,20.39,15.8,0,AB Capital ,2
Dec-18,104.6,105.95,92.85,100,4336014,29431,430242360,1518696,35.03,13.1,-4.6,AB Capital ,2
Jan-19,100.85,101.5,97.3,97.65,953226,6126,94614436,307800,32.29,4.2,-3.2,AB Capital ,2
