Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Sock Name,Sector ID
Jan-15,394.5,501.95,393.5,471.4,6487211,241674,2950879864,2250702,34.69,108.45,76.9,Dewan Housing,2
Feb-15,475,528.3,461.75,493.5,2602781,122996,1294528164,784776,30.15,66.55,18.5,Dewan Housing,2
Mar-15,495,569.7,446.65,465.9,1919274,107280,975586162,711736,37.08,123.05,-29.1,Dewan Housing,2
Apr-15,469.05,487,421.75,446.4,2881311,113189,1319713540,1308198,45.4,65.25,-22.65,Dewan Housing,2
May-15,451,460,415.7,441.75,1351547,45462,586886934,452407,33.47,44.3,-9.25,Dewan Housing,2
Jun-15,442,449.8,362,420.95,1777532,51976,741189465,430995,24.25,87.8,-21.05,Dewan Housing,2
Jul-15,423.35,504.9,406.6,481.9,3607339,98691,1682097099,983096,27.25,98.3,58.55,Dewan Housing,2
Aug-15,485.6,536,405.2,458.4,2473948,75050,1210182938,600412,24.27,130.8,-27.2,Dewan Housing,2
Sep-15,458,460,198.2,220.05,3603703,63503,978388117,1511325,41.94,261.8,-237.95,Dewan Housing,2
Oct-15,221.5,241.9,212.45,225.05,2925814,67948,672478713,780972,26.69,29.45,3.55,Dewan Housing,2
Nov-15,223,226.05,205.4,223.35,1756342,40244,381765599,595889,33.93,20.65,0.35,Dewan Housing,2
Dec-15,223.4,240.2,208.7,235.6,1532834,37916,345400814,494373,32.25,31.5,12.2,Dewan Housing,2
Jan-16,235.85,238.4,176.5,183.65,2099595,57878,419004941,710206,33.83,61.9,-52.2,Dewan Housing,2
Feb-16,187.9,195.8,140.55,153.6,4269592,94373,690666930,1683312,39.43,55.25,-34.3,Dewan Housing,2
Mar-16,158.9,197.5,155.4,196.2,3517478,63622,627584481,1145711,32.57,42.1,37.3,Dewan Housing,2
Apr-16,198,210.75,184.5,198.15,2908729,63612,579478692,839013,28.84,26.25,0.15,Dewan Housing,2
May-16,198,207.5,182.7,198.7,4934292,70851,969310968,2168341,43.94,24.8,0.7,Dewan Housing,2
Jun-16,200.1,216,186.05,203.6,4787804,83907,976321936,1333608,27.85,29.95,3.5,Dewan Housing,2
Jul-16,204.5,227.5,204.45,223,3817623,71810,829705387,1075228,28.16,23.05,18.5,Dewan Housing,2
Aug-16,224,294.5,220.25,290.7,7764343,107046,2026626868,2598346,33.47,74.25,66.7,Dewan Housing,2
Sep-16,291.9,304.7,268,283.6,5607544,70546,1628842816,2038391,36.35,36.7,-8.3,Dewan Housing,2
Oct-16,285,337,278.35,329.6,5142590,81343,1608247146,1130469,21.98,58.65,44.6,Dewan Housing,2
Nov-16,330,332.35,214.2,256,8736224,137794,2254319608,2495276,28.56,118.15,-74,Dewan Housing,2
Dec-16,257.95,258.9,227.55,243.7,3653285,52269,893216887,827140,22.64,31.35,-14.25,Dewan Housing,2
Jan-17,245.1,292.5,240.85,284.55,5756335,91725,1562563211,1246139,21.65,51.65,39.45,Dewan Housing,2
Feb-17,289,339.1,284.55,333.35,5809372,90164,1785517633,1594217,27.44,54.55,44.35,Dewan Housing,2
Mar-17,335,371.55,320.3,367,4399101,74155,1531802445,1268893,28.84,51.25,32,Dewan Housing,2
