Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,94.8,101,85.25,91.15,11501596,123083,1070708506,2353406,20.46,15.75,-3.65,Andhra Bank,3
Feb-15,91.85,94.95,81.8,85.4,7575701,75715,665100796,1641146,21.66,13.15,-6.45,Andhra Bank,3
Mar-15,85.9,90.8,75.75,79.05,5742095,56978,469175733,1552616,27.04,15.05,-6.85,Andhra Bank,3
Apr-15,81,87.5,73.55,76.45,5977779,59302,474733411,1572249,26.3,13.95,-4.55,Andhra Bank,3
May-15,77,81.8,72,80.2,5929114,44519,459370578,2123933,35.82,9.8,3.2,Andhra Bank,3
Jun-15,80,80.75,67.4,67.9,5593183,37016,397988610,1827700,32.68,13.35,-12.1,Andhra Bank,3
Jul-15,69.45,74.95,67.35,74.1,5413612,34881,383526887,1665648,30.77,7.6,4.65,Andhra Bank,3
Aug-15,75,81.55,61.8,67.45,7552067,46020,548013199,2377068,31.48,19.75,-7.55,Andhra Bank,3
Sep-15,68.7,69.2,59.35,66.95,5774306,37344,369675544,1615791,27.98,9.85,-1.75,Andhra Bank,3
Oct-15,68.3,71.05,65,65.25,3037270,21692,207777056,961749,31.66,6.05,-3.05,Andhra Bank,3
Nov-15,65.25,70.05,64.45,69,3121172,18569,210134975,922468,29.56,5.6,3.75,Andhra Bank,3
Dec-15,69.2,69.8,60.9,65.1,2935956,22363,190890885,1177791,40.12,8.9,-4.1,Andhra Bank,3
Jan-16,65.85,66.75,49.15,52.05,3844044,33180,217308612,1592574,41.43,17.6,-13.8,Andhra Bank,3
Feb-16,52.5,53.9,41.75,46.15,4394466,27401,209029254,1235438,28.11,12.15,-6.35,Andhra Bank,3
Mar-16,46.3,54.5,46.3,52.3,3268827,18667,167512044,1287371,39.38,8.2,6,Andhra Bank,3
Apr-16,52.1,57.2,50.2,55.2,3139886,21254,170772056,1017154,32.39,7,3.1,Andhra Bank,3
May-16,55.25,55.85,44.8,50.2,3603853,27597,178839427,1006935,27.94,11.05,-5.05,Andhra Bank,3
Jun-16,50.55,57.25,48,56.6,7678929,34949,409003943,1952351,25.42,9.25,6.05,Andhra Bank,3
Jul-16,58.5,64.5,56.6,60,7255243,31289,439226271,1904039,26.24,7.9,1.5,Andhra Bank,3
Aug-16,60.55,61.9,54.45,60.25,5729586,25470,336566078,1585241,27.67,7.45,-0.3,Andhra Bank,3
