Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,302,311.75,262.6,267,7620685,185888,2241794017,1653695,21.7,49.15,-35,Bank Of India,3
Feb-15,268,277.1,221.3,234.2,14135519,301320,3387176814,2660170,18.82,55.8,-33.8,Bank Of India,3
Mar-15,237,250,191.5,195.75,10829582,221610,2366385561,2154661,19.9,58.5,-41.25,Bank Of India,3
Apr-15,195.5,232.95,194.1,216.7,7413938,169891,1597596674,1159788,15.64,38.85,21.2,Bank Of India,3
May-15,218,225.8,188.5,197,10314792,145088,2096804314,1753861,17,37.3,-21,Bank Of India,3
Jun-15,198,199,168.65,171.3,8302353,113618,1492897789,1405554,16.93,30.35,-26.7,Bank Of India,3
Jul-15,172,186.7,147.8,163.05,9152496,106686,1553815499,1558930,17.03,38.9,-8.95,Bank Of India,3
Aug-15,164,187.75,131,142.25,14538860,150892,2335309357,2468967,16.98,56.75,-21.75,Bank Of India,3
Sep-15,140.9,145.7,126.3,135.55,10754256,107135,1456659657,1921866,17.87,19.4,-5.35,Bank Of India,3
Oct-15,136.4,148.95,131.05,131.6,6297682,61231,886489476,1346580,21.38,17.9,-4.8,Bank Of India,3
Nov-15,132.8,138.9,123.4,131.3,7052222,60875,924532929,1401941,19.88,15.5,-1.5,Bank Of India,3
Dec-15,132,132.2,113,114.95,7759972,62919,925992097,1902245,24.51,19.2,-17.05,Bank Of India,3
Jan-16,115,117.75,90.1,100.05,12279935,94521,1244699740,2269129,18.48,27.65,-14.95,Bank Of India,3
Feb-16,102.5,105.25,80.1,82.95,18776637,126588,1675387615,2326563,12.39,25.15,-19.55,Bank Of India,3
Mar-16,84,99.9,84,97.05,12680084,78310,1197234314,2425674,19.13,15.9,13.05,Bank Of India,3
Apr-16,97,101.8,89.5,92.55,10852275,74516,1037126779,1924887,17.74,12.3,-4.45,Bank Of India,3
May-16,92.05,92.05,78.6,86.5,13739835,87137,1170040209,2702371,19.67,13.45,-5.55,Bank Of India,3
Jun-16,87,101.85,83.5,101.1,17478790,104643,1617342591,2933693,16.78,18.35,14.1,Bank Of India,3
Jul-16,101.75,117.8,101.2,111.2,19616250,122040,2179994959,3470455,17.69,16.6,9.45,Bank Of India,3
Aug-16,112.85,119.15,101.4,117.05,18502973,115904,2070039696,2994096,16.18,17.75,4.2,Bank Of India,3
Sep-16,116.95,125.95,108.8,112.7,11889379,73923,1407613428,2473648,20.81,17.15,-4.25,Bank Of India,3
Oct-16,113,121.65,109.5,114.75,8811671,57322,1015423336,1854358,21.04,12.15,1.75,Bank Of India,3
Nov-16,115,128.75,99.8,119.45,15138924,114419,1794402780,2746268,18.14,28.95,4.45,Bank Of India,3
Dec-16,119.5,120.25,102.6,107.2,6998975,51413,788434691,1433040,20.47,17.65,-12.3,Bank Of India,3
Jan-17,107.75,123.2,105.9,117.65,6108773,45036,697321336,1220963,19.99,17.3,9.9,Bank Of India,3
Feb-17,117.65,138.7,117.5,128.5,11472839,72951,1487111275,2192780,19.11,21.2,10.85,Bank Of India,3
Mar-17,128.5,142.4,122.95,139.4,10229358,59119,1345351020,1925006,18.82,19.45,10.9,Bank Of India,3
Apr-17,140,189,138.6,186.35,12652184,75574,2011312797,1825833,14.43,50.4,46.35,Bank Of India,3
May-17,185.9,197.25,139.6,141.55,21644932,124679,3652218928,2410624,11.14,57.65,-44.35,Bank Of India,3
Jun-17,143.5,149,127.95,139.3,11586440,60089,1614204375,1491731,12.87,21.05,-4.2,Bank Of India,3
Jul-17,140,167.25,135.75,166.05,11201763,57658,1688118384,2142318,19.12,31.5,26.05,Bank Of India,3
Aug-17,167.5,167.5,137.45,143.9,12113432,62764,1824586734,1663017,13.73,30.05,-23.6,Bank Of India,3
Sep-17,142.6,157.8,137,137.45,5776661,28750,849938586,984589,17.04,20.8,-5.15,Bank Of India,3
Oct-17,138,201,129.05,190.95,11864961,73106,2021640442,2341230,19.73,71.95,52.95,Bank Of India,3
Nov-17,195,216.7,191.8,196.25,12032026,73564,2412429372,1497255,12.44,24.9,1.25,Bank Of India,3
Dec-17,195.3,198.05,168,169.7,5201292,30161,924719020,792315,15.23,30.05,-25.6,Bank Of India,3
Jan-18,178,182.75,155.05,157.35,7809134,58276,1305812221,1358059,17.39,27.7,-20.65,Bank Of India,3
Feb-18,157,159.25,112.15,116.3,11372564,69789,1520033776,1493031,13.13,47.1,-40.7,Bank Of India,3
Mar-18,116,116.75,91.35,103.4,27005894,107082,2770007590,3444919,12.76,25.4,-12.6,Bank Of India,3
Apr-18,103.4,118.5,96.65,103.95,15005318,58923,1612975566,2070123,13.8,21.85,0.55,Bank Of India,3
May-18,104.9,108.7,92.85,98.7,15927573,60156,1604066260,1998752,12.55,15.85,-6.2,Bank Of India,3
Jun-18,98.8,104.85,84.8,87.5,11095937,41006,1065281947,1992371,17.96,20.05,-11.3,Bank Of India,3
Jul-18,87.7,104.3,76.1,94.35,16799922,72091,1525036512,2520673,15,28.2,6.65,Bank Of India,3
Aug-18,94.05,101.1,87.95,100.45,19583153,75713,1854205629,2514104,12.84,13.15,6.4,Bank Of India,3
Sep-18,101.5,102.9,75.85,76.9,15319129,53764,1378934915,1745991,11.4,27.05,-24.6,Bank Of India,3
Oct-18,76.1,88,73.3,86,18448639,55963,1445652403,1793897,9.72,14.7,9.9,Bank Of India,3
Nov-18,86.5,92.95,79.7,84.85,23342205,72102,1998268991,2022632,8.67,13.25,-1.65,Bank Of India,3
Dec-18,85,105.2,76.25,104.05,25965708,82606,2377074993,2556245,9.84,28.95,19.05,Bank Of India,3
Jan-19,104.5,109.2,103.7,108.75,4869771,15757,516066757,695054,14.27,5.5,4.25,Bank Of India,3
