Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,312,335.9,295.4,310,39070193,646182,12340432752,16011082,40.98,40.5,-2,State Bank Of India,3
Feb-15,309.95,313.15,276,301.6,54447724,1061254,16152142013,14215779,26.11,37.15,-8.35,State Bank Of India,3
Mar-15,305.3,315.8,255.25,267,40741246,745401,11549016211,12713380,31.21,60.55,-38.3,State Bank Of India,3
Apr-15,266.9,294.5,263.65,270.05,25971690,482687,7264209134,6696433,25.78,30.85,3.15,State Bank Of India,3
May-15,274,305,259.95,278.15,42144684,468903,11862169758,13213351,31.35,45.05,4.15,State Bank Of India,3
Jun-15,279,281.95,249.15,262.8,37226006,357010,9707176029,13034443,35.01,32.8,-16.2,State Bank Of India,3
Jul-15,262,274.6,252.4,270.4,21633897,230876,5767399302,5996042,27.72,22.2,8.4,State Bank Of India,3
Aug-15,270.7,291.85,240.1,247.1,45556090,517195,12215986729,11859312,26.03,51.75,-23.6,State Bank Of India,3
Sep-15,245.1,248.5,220.6,237.25,34790731,397675,8173227238,9091811,26.13,27.9,-7.85,State Bank Of India,3
Oct-15,242,257.9,234.9,237.2,19509403,234324,4784523450,5484016,28.11,23,-4.8,State Bank Of India,3
Nov-15,238.7,252.9,232.85,250.45,21560974,223720,5238970502,4531015,21.01,20.05,11.75,State Bank Of India,3
Dec-15,250.45,251.85,224,224.4,23780341,240043,5540468381,7293717,30.67,27.85,-26.05,State Bank Of India,3
Jan-16,225,228.9,171.6,179.95,46677159,440894,9029810026,13910940,29.8,57.3,-45.05,State Bank Of India,3
Feb-16,182,182.5,148.3,158.4,81538095,682685,13203414835,16832919,20.64,34.2,-23.6,State Bank Of India,3
Mar-16,160,198.75,159,194.3,52289028,446668,9641118873,10028758,19.18,39.75,34.3,State Bank Of India,3
Apr-16,194,202.5,180.35,188.95,40586433,357973,7791145121,8752098,21.56,22.15,-5.05,State Bank Of India,3
May-16,188,205.6,166.6,204.85,63797885,517547,11738222162,17771196,27.86,39,16.85,State Bank Of India,3
Jun-16,206,221.8,195.4,218.65,66554483,553886,13971667728,12110375,18.2,26.4,12.65,State Bank Of India,3
Jul-16,220.5,235,216.55,229.05,39186426,291884,8924741907,12279233,31.34,18.45,8.55,State Bank Of India,3
Aug-16,230.95,260.5,223.2,252.55,65329569,388045,15714986534,22668181,34.7,37.3,21.6,State Bank Of India,3
Sep-16,252.45,271.55,243.5,250.7,48509793,266867,12491082418,23378626,48.19,28.05,-1.75,State Bank Of India,3
Oct-16,252.6,264.75,246.1,257.85,52749775,244507,13564926312,25154633,47.69,18.65,5.25,State Bank Of India,3
Nov-16,257.5,288.5,231,258.4,51563548,408665,13732158291,13189237,25.58,57.5,0.9,State Bank Of India,3
Dec-16,259.9,269.45,243.1,249.75,28721047,248185,7380916746,8481859,29.53,26.35,-10.15,State Bank Of India,3
Jan-17,252.75,268.25,241.1,260,30754585,242900,7802196410,11842343,38.51,27.15,7.25,State Bank Of India,3
Feb-17,261.6,282.45,261,269.2,48262139,259158,13181356220,22188804,45.98,21.45,7.6,State Bank Of India,3
