Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,44.5,53.1,43.3,51.9,25615287,176601,1230851642,6988986,27.28,9.8,7.4,Adani Power,4
Feb-15,52.5,58.6,45.75,56,27609836,199697,1476765879,6670502,24.16,12.85,3.5,Adani Power,4
Mar-15,56.15,60,44.8,47.3,26902851,156908,1428835258,8179802,30.4,15.2,-8.85,Adani Power,4
Apr-15,47,50.45,41.3,43,12268914,91162,568504938,3775276,30.77,9.15,-4,Adani Power,4
May-15,43,45.45,38.5,38.95,15941279,70893,660068347,5697577,35.74,6.95,-4.05,Adani Power,4
Jun-15,39.25,39.25,26.5,29.25,37559174,106435,1144770463,13220357,35.2,12.75,-10,Adani Power,4
Jul-15,29.2,31.15,26.35,27.4,32069549,74277,923182173,10373491,32.35,4.8,-1.8,Adani Power,4
Aug-15,27.6,29.45,19.65,22.45,29099047,67871,735424122,9705408,33.35,9.8,-5.15,Adani Power,4
Sep-15,22.5,25.4,20.15,24.7,21273628,47277,485944003,6147149,28.9,5.25,2.2,Adani Power,4
Oct-15,24.55,32.55,24.2,31.45,29185577,63577,860044332,7941125,27.21,8.35,6.9,Adani Power,4
Nov-15,31.85,32.45,26.25,30.75,21530824,40568,634784471,5006467,23.25,6.2,-1.1,Adani Power,4
Dec-15,30.9,32.5,25.8,32.25,24724560,56335,729462626,6621420,26.78,6.7,1.35,Adani Power,4
Jan-16,32.25,35.1,25.4,28.6,24691572,55460,758689247,7348196,29.76,9.7,-3.65,Adani Power,4
Feb-16,29,29.4,22.45,27.5,22383367,41194,594220759,5759287,25.73,6.95,-1.5,Adani Power,4
Mar-16,27.75,35.75,27.7,34.65,15754512,29579,483714385,5412536,34.36,8.05,6.9,Adani Power,4
Apr-16,34.35,36.1,30.2,32.05,20398567,45689,685425946,4168570,20.44,5.9,-2.3,Adani Power,4
May-16,31.65,32.9,27.65,29.8,29535097,39934,891683999,16268164,55.08,5.25,-1.85,Adani Power,4
Jun-16,30.05,31.5,27.15,30.35,19202477,34121,573128897,6619220,34.47,4.35,0.3,Adani Power,4
Jul-16,30.8,30.95,27.9,28.05,17559536,30972,516084925,7323178,41.7,3.05,-2.75,Adani Power,4
Aug-16,27.95,28.5,26.1,27.7,18437003,31405,504492962,6283451,34.08,2.4,-0.25,Adani Power,4
Sep-16,27.7,29.3,24.7,24.95,14822949,26659,406667669,4569823,30.83,4.6,-2.75,Adani Power,4
Oct-16,25.35,28.25,25.05,27.3,20826996,31441,550446784,6013490,28.87,3.2,1.95,Adani Power,4
Nov-16,27.4,28.8,23.35,28.65,20907569,43541,539155092,6200629,29.66,5.45,1.25,Adani Power,4
Dec-16,28.65,33.95,27.4,30.1,28820614,77158,891783330,7753782,26.9,6.55,1.45,Adani Power,4
Jan-17,30.35,38.95,29.2,36.2,33475202,79920,1178911665,8173462,24.42,9.75,5.85,Adani Power,4
Feb-17,36.5,39.35,34.35,38.45,18557873,32329,681002004,5052132,27.22,5,1.95,Adani Power,4
Mar-17,38.8,41.3,36.35,39.95,23663061,45456,933496515,6364747,26.9,4.95,1.15,Adani Power,4
Apr-17,40.5,46.3,31.8,32.95,63173350,123110,2280619252,19653024,31.11,14.5,-7.55,Adani Power,4
May-17,33.05,33.7,25.9,27.65,40721715,66478,1240175974,9925351,24.37,7.8,-5.4,Adani Power,4
Jun-17,27.85,30,26.45,29.7,23172504,33687,639211473,5398577,23.3,3.55,1.85,Adani Power,4
Jul-17,29.95,35.45,28.1,33.45,28298883,43419,887195681,7963210,28.14,7.35,3.5,Adani Power,4
Aug-17,33.5,33.9,25.9,33.25,24804274,36514,762116537,8107012,32.68,8,-0.25,Adani Power,4
Sep-17,33.2,33.65,28.85,29.55,24689748,38208,776719746,4921554,19.93,4.8,-3.65,Adani Power,4
Oct-17,29.55,33.9,28.75,32.8,20379281,30845,630909073,4590307,22.52,5.15,3.25,Adani Power,4
Nov-17,32.8,37.1,31.35,35.5,30303431,51995,1044644690,7181832,23.7,5.75,2.7,Adani Power,4
Dec-17,35.7,42.1,32.1,41.65,38058621,58311,1391661342,7043787,18.51,10,5.95,Adani Power,4
Jan-18,42,47.75,35,36.65,61841711,90107,2615223917,9851188,15.93,12.75,-5.35,Adani Power,4
Feb-18,36.5,37.3,29.6,31.75,21165758,37188,694552283,4284954,20.24,7.7,-4.75,Adani Power,4
Mar-18,31.6,32,23.15,23.75,31545609,41196,840729042,11686975,37.05,8.85,-7.85,Adani Power,4
Apr-18,24.05,26.9,23.65,25.7,19335780,26224,492362102,4073069,21.06,3.25,1.65,Adani Power,4
May-18,25.6,26.1,18.6,20.2,20521043,30678,446248758,5792506,28.23,7.5,-5.4,Adani Power,4
Jun-18,20.25,20.25,15.4,16.15,31878589,34725,571074016,6274462,19.68,4.85,-4.1,Adani Power,4
Jul-18,16.15,31.65,15.2,31.35,82771294,113462,1933197187,12190461,14.73,16.45,15.2,Adani Power,4
Aug-18,31.75,36,27.85,35.4,86833855,114836,2777845221,12526387,14.43,8.15,3.65,Adani Power,4
Sep-18,35.5,36.05,23.55,23.85,46074260,57406,1340812734,5615822,12.19,12.5,-11.65,Adani Power,4
Oct-18,24.2,46.45,21.1,46.05,91131604,138931,3082672440,10294786,11.3,25.35,21.85,Adani Power,4
Nov-18,46,57.3,45,55.4,62131282,104078,3117250983,9806079,15.78,12.3,9.4,Adani Power,4
Dec-18,56.1,58.2,47,50.9,31363538,55491,1638858702,4007841,12.78,11.2,-5.2,Adani Power,4
Jan-19,50.8,51.1,48.85,50.35,6539081,7345,329137971,454019,6.94,2.25,-0.45,Adani Power,4
