Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,1.05,1.21,0.93,1,319016,563,337378,299702,93.95,0.28,-0.05,Bil Energy,4
Feb-15,1.07,1.4,0.88,1.18,451290,632,494799,344435,76.32,0.52,0.11,Bil Energy,4
Mar-15,1.05,1.28,0.7,1.01,2677906,831,2497723,2510093,93.73,0.58,-0.04,Bil Energy,4
Apr-15,0.81,1.39,0.71,1.05,312898,490,314462,257840,82.4,0.68,0.24,Bil Energy,4
May-15,1.1,1.2,0.83,1.08,123377,212,128484,106951,86.69,0.37,-0.02,Bil Energy,4
Jun-15,1.05,1.15,0.7,0.92,46926,88,46191,39286,83.72,0.45,-0.13,Bil Energy,4
Jul-15,0.79,1.09,0.68,0.85,3139209,180,2643586,3106305,98.95,0.41,0.06,Bil Energy,4
Aug-15,0.76,1.1,0.72,0.9,3561321,269,3181677,3549704,99.67,0.38,0.14,Bil Energy,4
Sep-15,0.8,1,0.61,0.91,93802,73,79251,72628,77.43,0.39,0.11,Bil Energy,4
Oct-15,0.8,1.37,0.75,1.01,116190,92,118177,112495,96.82,0.62,0.21,Bil Energy,4
Nov-15,1.01,1.3,1,1.19,152101,52,154660,136600,89.81,0.3,0.18,Bil Energy,4
Dec-15,1.18,1.18,0.95,1.06,102526,69,108543,98155,95.74,0.23,-0.12,Bil Energy,4
Jan-16,1.11,1.48,1.06,1.09,789051,273,1059153,750210,95.08,0.42,-0.02,Bil Energy,4
Feb-16,1.1,1.38,0.94,0.94,106260,85,123848,103682,97.57,0.44,-0.16,Bil Energy,4
Mar-16,0.92,1.09,0.91,1.05,66122,64,66893,58892,89.07,0.18,0.13,Bil Energy,4
Apr-16,0.97,1.1,0.86,0.99,57455,58,56239,55891,97.28,0.24,0.02,Bil Energy,4
May-16,1.08,1.13,0.94,0.97,36395,55,36635,36355,99.89,0.19,-0.11,Bil Energy,4
Jun-16,0.97,1.19,0.74,1.1,537970,303,519181,482477,89.68,0.45,0.13,Bil Energy,4
Jul-16,1.06,1.15,0.95,0.96,366185,172,381186,352795,96.34,0.2,-0.1,Bil Energy,4
Aug-16,0.99,1.19,0.84,0.9,497047,244,494850,422873,85.08,0.35,-0.09,Bil Energy,4
Sep-16,0.85,1.08,0.58,0.78,1522057,745,1186683,1380242,90.68,0.5,-0.07,Bil Energy,4
Oct-16,0.71,0.96,0.7,0.8,370757,163,307934,329570,88.89,0.26,0.09,Bil Energy,4
Nov-16,0.96,0.96,0.75,0.85,310834,85,266271,299286,96.28,0.21,-0.11,Bil Energy,4
Dec-16,0.8,0.95,0.61,0.66,136509,117,99085,127258,93.22,0.34,-0.14,Bil Energy,4
Jan-17,0.65,0.9,0.61,0.67,237798,99,174520,234937,98.8,0.29,0.02,Bil Energy,4
Feb-17,0.7,0.81,0.66,0.75,162223,135,118483,159123,98.09,0.15,0.05,Bil Energy,4
Mar-17,0.75,0.78,0.65,0.67,99416,82,70153,97510,98.08,0.13,-0.08,Bil Energy,4
Apr-17,0.67,0.76,0.64,0.67,53036,57,36915,51031,96.22,0.12,0,Bil Energy,4
May-17,0.67,0.93,0.65,0.81,71079,61,55977,68637,96.56,0.28,0.14,Bil Energy,4
Jun-17,0.81,0.87,0.73,0.83,30477,52,23571,28526,93.6,0.14,0.02,Bil Energy,4
Jul-17,0.79,0.89,0.73,0.75,44518,48,38277,44218,99.33,0.16,-0.04,Bil Energy,4
Aug-17,0.75,0.77,0.65,0.75,16699,35,12258,16263,97.39,0.12,0,Bil Energy,4
Sep-17,0.72,0.84,0.72,0.82,268544,34,207636,268526,99.99,0.12,0.1,Bil Energy,4
Oct-17,0.78,0.78,0.7,0.75,16735,19,12451,16735,100,0.08,-0.03,Bil Energy,4
Nov-17,0.75,1.07,0.75,1.07,566333,260,484084,558033,98.53,0.32,0.32,Bil Energy,4
Dec-17,1.12,1.7,1.12,1.7,1249315,538,1941105,1249315,100,0.58,0.58,Bil Energy,4
Jan-18,1.78,2.46,1.29,1.86,22038381,6128,38628598,22038381,100,1.17,0.08,Bil Energy,4
Feb-18,1.9,2.04,1.09,1.09,6167916,3213,10559502,5834550,94.6,0.95,-0.81,Bil Energy,4
Mar-18,1.04,1.08,0.72,0.74,1595701,756,1473911,1482680,92.92,0.36,-0.3,Bil Energy,4
Apr-18,0.74,0.85,0.62,0.66,1388638,721,1012034,1193542,85.95,0.23,-0.08,Bil Energy,4
May-18,0.66,0.68,0.49,0.5,759892,350,421044,759892,100,0.19,-0.16,Bil Energy,4
Jun-18,0.5,0.58,0.48,0.5,342590,255,174740,342590,100,0.1,0,Bil Energy,4
Jul-18,0.5,0.55,0.48,0.48,262805,205,135311,262805,100,0.07,-0.02,Bil Energy,4
Aug-18,0.48,0.57,0.46,0.5,215774,204,106765,215774,100,0.11,0.02,Bil Energy,4
Sep-18,0.5,0.57,0.48,0.52,196216,218,102317,196216,100,0.09,0.02,Bil Energy,4
Oct-18,0.5,0.55,0.48,0.51,314867,113,158173,314867,100,0.07,0.01,Bil Energy,4
Nov-18,0.52,0.54,0.48,0.51,429471,142,217361,429471,100,0.06,-0.01,Bil Energy,4
Dec-18,0.5,0.53,0.47,0.5,308754,72,148969,308754,100,0.06,0,Bil Energy,4
Jan-19,0.5,0.5,0.48,0.48,115785,33,57293,115785,100,0.02,-0.02,Bil Energy,4
