Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,667,751.3,653.75,729.4,479694,48238,340609401,106850,22.27,97.55,62.4,CESC,4
Feb-15,730,751.2,566.6,593.15,1388330,96983,871648047,358772,25.84,184.6,-136.85,CESC,4
Mar-15,599.5,624.5,567.25,601.8,888189,66277,531162889,219783,24.75,57.25,2.3,CESC,4
Apr-15,600,622.3,525.25,547.65,1029620,47647,602600724,659896,64.09,97.05,-52.35,CESC,4
May-15,554.25,604.35,517.75,548.55,985201,55821,558763968,216005,21.92,86.6,-5.7,CESC,4
Jun-15,544.5,571.45,505.25,558.25,498711,23838,268056401,116757,23.41,66.2,13.75,CESC,4
Jul-15,558.25,623.65,536,564.8,1285422,31692,735164868,437002,34,87.65,6.55,CESC,4
Aug-15,570,609,452,521.4,804071,36488,454148080,176371,21.93,157,-48.6,CESC,4
Sep-15,512,552.5,479.2,516.8,1156227,25569,579309352,724731,62.68,73.3,4.8,CESC,4
Oct-15,519.55,612,517,580.8,579725,27111,332499365,123542,21.31,95,61.25,CESC,4
Nov-15,582.6,591,515.5,550.25,664230,27250,366042080,89213,13.43,75.5,-32.35,CESC,4
Dec-15,554,577.1,494.7,514.05,731428,33165,382405403,146874,20.08,82.4,-39.95,CESC,4
Jan-16,514.8,526.2,427.3,452.8,1295640,32809,590626129,822605,63.49,98.9,-62,CESC,4
Feb-16,455,456.85,404.75,436.45,630137,33608,274110696,171511,27.22,52.1,-18.55,CESC,4
Mar-16,441.9,485.65,438.9,473.35,390916,23227,183010932,123426,31.57,46.75,31.45,CESC,4
Apr-16,472,556,466.75,537.55,432483,25818,222882524,107129,24.77,89.25,65.55,CESC,4
May-16,540,577.25,520,544.9,802796,30638,443303879,340256,42.38,57.25,4.9,CESC,4
Jun-16,543,599,531.35,596.35,563708,28855,319851750,146930,26.06,67.65,53.35,CESC,4
Jul-16,598.85,634.65,580.5,612.1,445960,17203,272190812,191015,42.83,54.15,13.25,CESC,4
Aug-16,613.75,669,595,666.85,395805,14953,253889387,152751,38.59,74,53.1,CESC,4
Sep-16,667,683.45,599.7,613.15,541397,22442,350865673,123537,22.82,83.75,-53.85,CESC,4
Oct-16,619.95,643.2,592.1,630.6,382209,16885,236026340,95105,24.88,51.1,10.65,CESC,4
Nov-16,630,633.95,539.1,586.3,596761,28380,352028203,164113,27.5,94.85,-43.7,CESC,4
Dec-16,586.95,645,570,636.75,981836,25613,598222248,630376,64.2,75,49.8,CESC,4
Jan-17,637,750.3,637,737.8,1383836,39442,958239108,758420,54.81,113.3,100.8,CESC,4
Feb-17,732,886.3,729.5,840.75,842477,40764,696471824,155590,18.47,156.8,108.75,CESC,4
Mar-17,840.8,862,793,840.8,907954,23754,752543712,178135,19.62,69,0,CESC,4
Apr-17,862,948.2,827,944.2,966910,43362,858963877,252251,26.09,121.2,82.2,CESC,4
May-17,947,1001.85,812,918,2360780,79563,2119602401,433662,18.37,189.85,-29,CESC,4
Jun-17,918.9,923.4,848.9,871.05,480820,17980,427642374,165031,34.32,74.5,-47.85,CESC,4
Jul-17,871.5,948.3,860.45,943.2,572077,27801,512534798,211196,36.92,87.85,71.7,CESC,4
Aug-17,945.5,1037.5,898.85,1015.75,1429404,37384,1382622827,277302,19.4,138.65,70.25,CESC,4
Sep-17,1024,1079.7,975,986.75,1559301,39302,1614802556,684239,43.88,104.7,-37.25,CESC,4
Oct-17,995.05,1062.95,991,1018.2,980480,17038,1018394238,657739,67.08,71.95,23.15,CESC,4
Nov-17,1018.2,1052,974.95,1013.85,1018662,25155,1028755793,576247,56.57,77.05,-4.35,CESC,4
Dec-17,1017.45,1075,973.25,1047.85,510502,18953,522735157,165440,32.41,101.75,30.4,CESC,4
Jan-18,1055,1188.95,1047,1054.9,844233,30122,934374172,237795,28.17,141.95,-0.1,CESC,4
Feb-18,1060.05,1066.75,925,1022.3,391971,16678,393650656,101878,25.99,141.75,-37.75,CESC,4
Mar-18,1020,1025.95,859.8,967.65,645345,24003,609794451,240537,37.27,166.15,-52.35,CESC,4
Apr-18,977.15,1079.95,957,1061.45,463576,17169,474273534,178811,38.57,122.95,84.3,CESC,4
May-18,1064,1092.6,993.8,1018.55,589889,20900,611848851,251142,42.57,98.8,-45.45,CESC,4
Jun-18,1020.05,1048.15,877.5,914.4,559814,15218,553281449,100280,17.91,170.65,-105.65,CESC,4
Jul-18,918,959.9,870,945.3,861495,30830,781839305,402270,46.69,89.9,27.3,CESC,4
Aug-18,946.5,1029.95,880.2,995.1,885558,34409,871389038,167517,18.92,149.75,48.6,CESC,4
Sep-18,997,1038.55,804.75,820.8,895991,37474,857097782,228290,25.48,233.8,-176.2,CESC,4
Oct-18,803,950,643.05,694.3,1576495,60565,1307231205,364199,23.1,306.95,-108.7,CESC,4
Nov-18,697,705.75,670,698.8,479524,15512,330094231,112653,23.49,35.75,1.8,CESC,4
Dec-18,696.15,735,651.45,668.6,500159,16476,346506908,112335,22.46,83.55,-27.55,CESC,4
Jan-19,666.05,677,647.5,653.2,60042,2158,39809262,16589,27.63,29.5,-12.85,CESC,4
