Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,9.45,10.18,8.3,8.76,11938727,34815,109809033,5338038,44.71,1.88,-0.69,3i Infotech,5
Feb-15,8.84,9.05,7.65,7.97,9375192,30870,76651698,4386469,46.79,1.4,-0.87,3i Infotech,5
Mar-15,8.2,8.38,5.5,5.85,10230958,27815,69255751,6249995,61.09,2.88,-2.35,3i Infotech,5
Apr-15,5.9,8.18,5.81,6.04,13760528,34772,98037681,6721074,48.84,2.37,0.14,3i Infotech,5
May-15,6.02,7.24,2.18,2.88,101019571,57638,328158335,49392942,48.89,5.06,-3.14,3i Infotech,5
Jun-15,3.02,6.8,3.02,5.42,65816639,25647,297628621,35245931,53.55,3.78,2.4,3i Infotech,5
Jul-15,5.15,5.15,3.45,3.81,29587708,15810,123838659,28284715,95.6,1.7,-1.34,3i Infotech,5
Aug-15,4,4.15,2.72,3.15,28528251,11464,93641735,19224403,67.39,1.43,-0.85,3i Infotech,5
Sep-15,3.15,3.38,2.85,3.18,13011416,6780,40161806,6989643,53.72,0.53,0.03,3i Infotech,5
Oct-15,3.33,4.41,3.25,3.82,32366716,15098,127871031,14395216,44.48,1.16,0.49,3i Infotech,5
Nov-15,3.87,4.34,3.56,3.98,12583277,8371,49848287,6932311,55.09,0.78,0.11,3i Infotech,5
Dec-15,3.97,6.09,3.95,4.85,49541026,35854,248606226,21082651,42.56,2.14,0.88,3i Infotech,5
Jan-16,4.89,5.97,4.31,4.68,23083529,18765,120232144,11637550,50.41,1.66,-0.21,3i Infotech,5
Feb-16,4.8,5.35,3.83,3.95,10897491,8989,49715110,5432815,49.85,1.52,-0.85,3i Infotech,5
Mar-16,4,4.78,4,4.16,11015793,6510,47654591,7344428,66.67,0.78,0.16,3i Infotech,5
Apr-16,4.35,4.6,4.13,4.26,5528123,4370,23942734,3158889,57.14,0.47,-0.09,3i Infotech,5
May-16,4.25,4.34,3.81,3.85,6155767,8396,25414863,3501967,56.89,0.53,-0.4,3i Infotech,5
Jun-16,3.83,5.67,3.75,5.09,18329942,16932,88722374,8558333,46.69,1.92,1.26,3i Infotech,5
Jul-16,5.1,5.95,4.9,5.09,16741777,10803,89785305,7361171,43.97,1.05,-0.01,3i Infotech,5
Aug-16,5.11,6.4,4.75,5.25,24690467,18634,139321095,11189480,45.32,1.65,0.14,3i Infotech,5
Sep-16,5.27,6.49,5.01,5.74,19795452,15378,115656057,9497759,47.98,1.48,0.47,3i Infotech,5
Oct-16,5.74,7.2,5.64,6.7,18531696,14469,119545139,9207176,49.68,1.56,0.96,3i Infotech,5
Nov-16,6.74,6.81,4.91,5.49,10229445,9049,59412594,5072556,49.59,1.9,-1.25,3i Infotech,5
Dec-16,5.6,6.13,5.21,5.63,6439009,6122,36731117,3384030,52.56,0.92,0.03,3i Infotech,5
Jan-17,5.7,6.79,5.55,5.59,12764416,11597,77579902,6797307,53.25,1.24,-0.11,3i Infotech,5
Feb-17,5.67,5.77,5.12,5.14,8182904,6461,44602756,5211805,63.69,0.65,-0.53,3i Infotech,5
Mar-17,5.23,5.38,4.7,5.05,9412442,6822,47133391,6262853,66.54,0.68,-0.18,3i Infotech,5
Apr-17,5.05,6,5.02,5.53,11121862,7090,61276778,6816909,61.29,0.98,0.48,3i Infotech,5
May-17,5.66,5.89,4.47,4.57,12019726,7669,60671156,7395524,61.53,1.42,-1.09,3i Infotech,5
Jun-17,4.65,4.9,4.02,4.27,13219172,7686,59882869,7083549,53.59,0.88,-0.38,3i Infotech,5
Jul-17,4.3,4.87,4.15,4.17,15178622,8531,67960655,8529156,56.19,0.72,-0.13,3i Infotech,5
Aug-17,4.15,4.26,3.6,4.08,11873711,8794,47365546,7606805,64.06,0.66,-0.07,3i Infotech,5
Sep-17,4.09,4.29,3.76,3.83,9443442,4266,37836339,6481994,68.64,0.53,-0.26,3i Infotech,5
Oct-17,3.84,4.14,3.74,3.78,7379219,3817,28662951,5013809,67.94,0.4,-0.06,3i Infotech,5
Nov-17,3.76,4.3,3.75,3.84,11236721,5944,44474270,6413725,57.08,0.55,0.08,3i Infotech,5
Dec-17,3.92,8.05,3.74,8.05,52234551,39874,298799072,24539729,46.98,4.31,4.13,3i Infotech,5
Jan-18,8.5,9.27,6.09,6.13,77028706,83643,635069917,36067185,46.82,3.18,-2.37,3i Infotech,5
Feb-18,6.35,6.5,5.4,5.85,18563660,13456,110912644,10441610,56.25,1.1,-0.5,3i Infotech,5
Mar-18,5.98,6.05,4.42,5.03,17198358,8228,88513324,10713092,62.29,1.63,-0.95,3i Infotech,5
Apr-18,5.09,6,4.73,4.93,15812159,8142,84012562,9213532,58.27,1.27,-0.16,3i Infotech,5
May-18,4.94,5.17,3.9,4.8,11798802,6733,54489008,7424912,62.93,1.27,-0.14,3i Infotech,5
Jun-18,4.83,5.01,3.94,4.32,7359321,5061,31881118,4430680,60.21,1.07,-0.51,3i Infotech,5
Jul-18,4.33,4.64,3.38,3.58,11033595,30310,42643883,5854233,53.06,1.26,-0.75,3i Infotech,5
Aug-18,3.63,4.09,3.42,3.63,6605333,26642,24167932,4047080,61.27,0.67,0,3i Infotech,5
Sep-18,3.65,4.18,3.3,3.33,9527836,6126,35040690,4535222,47.6,0.88,-0.32,3i Infotech,5
Oct-18,3.46,3.8,3.05,3.37,8624627,6436,29192897,4883005,56.62,0.75,-0.09,3i Infotech,5
Nov-18,3.42,4.7,3.3,3.75,13278778,10007,52790578,5702186,42.94,1.4,0.33,3i Infotech,5
Dec-18,3.85,3.89,3.46,3.64,4831040,4662,17688721,3020704,62.53,0.43,-0.21,3i Infotech,5
Jan-19,3.71,3.75,3.55,3.61,1328385,1121,4845864,677574,51.01,0.2,-0.1,3i Infotech,5
