Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,172,177.5,158,168.35,457471,19272,76351394,195879,42.82,19.5,-3.65,D-Link,5
Feb-15,169,195,157,170.2,987715,40312,176096518,345109,34.94,38,1.2,D-Link,5
Mar-15,173.5,177.7,159.1,164.4,284145,12898,48252508,150756,53.06,18.6,-9.1,D-Link,5
Apr-15,164.8,209.8,162,181,513770,24382,96197975,170446,33.18,47.8,16.2,D-Link,5
May-15,181,222,167,179.7,525662,14470,104919553,189012,35.96,55,-1.3,D-Link,5
Jun-15,180,202.4,166.1,195.2,330873,10182,61153763,120959,36.56,36.3,15.2,D-Link,5
Jul-15,197.1,251.4,195.1,227.7,1187402,32975,274285267,396752,33.41,56.3,30.6,D-Link,5
Aug-15,230.4,243.4,140.2,174,717057,15095,144356576,346509,48.32,103.2,-56.4,D-Link,5
Sep-15,170,175,148.7,165.1,431388,8680,69120023,299687,69.47,26.3,-4.9,D-Link,5
Oct-15,166,189,164.4,170.4,642069,13772,113770042,240620,37.48,24.6,4.4,D-Link,5
Nov-15,170.8,177.6,142.2,162.3,459774,12430,72087023,118637,25.8,35.4,-8.5,D-Link,5
Dec-15,161.1,188,151,175.5,327653,10544,55570441,98489,30.06,37,14.4,D-Link,5
Jan-16,179.5,181,113,132,275653,6537,40129224,140832,51.09,68,-47.5,D-Link,5
Feb-16,135,145.5,107.6,128.1,620333,12519,79434409,302490,48.76,37.9,-6.9,D-Link,5
Mar-16,128.5,141,115.2,117.8,398449,7860,49871559,212647,53.37,25.8,-10.7,D-Link,5
Apr-16,116.8,137.6,116.1,126.1,304595,6882,38333425,115270,37.84,21.5,9.3,D-Link,5
May-16,125.1,127,110,119.5,234751,4304,27911728,131446,55.99,17,-5.6,D-Link,5
Jun-16,118.1,130.9,110.4,122.45,322155,7229,38963505,168715,52.37,20.5,4.35,D-Link,5
Jul-16,123.2,131,113,113.2,418055,8508,50848305,230148,55.05,18,-10,D-Link,5
Aug-16,113,115.25,82,85.9,640239,9712,59872716,313531,48.97,33.25,-27.1,D-Link,5
Sep-16,84.45,94.2,75.25,86.85,1903522,22677,166831862,699624,36.75,18.95,2.4,D-Link,5
Oct-16,88,92.95,85,89.65,893215,14272,79927371,392494,43.94,7.95,1.65,D-Link,5
Nov-16,90.8,92.05,77,82.95,393825,5817,33281924,213266,54.15,15.05,-7.85,D-Link,5
Dec-16,84.05,123.7,84.05,118,6259725,85978,680228023,1266880,20.24,39.65,33.95,D-Link,5
Jan-17,118.55,129.4,112.15,119.85,2961639,38849,359050461,758083,25.6,17.25,1.3,D-Link,5
Feb-17,120.15,132.5,112,123.7,1791378,26201,223310557,562978,31.43,20.5,3.55,D-Link,5
Mar-17,128,147.9,124.25,139.9,3587878,50181,504195735,874205,24.37,23.65,11.9,D-Link,5
Apr-17,141.45,154,135.6,142.8,1085214,14053,158475942,402127,37.06,18.4,1.35,D-Link,5
May-17,143,148.9,99.3,101.35,1325724,17261,154647671,548952,41.41,49.6,-41.65,D-Link,5
Jun-17,101.6,106.5,90.4,98.75,713741,9105,69294690,345195,48.36,16.1,-2.85,D-Link,5
Jul-17,99.15,111.6,98.55,101.55,1369643,16607,143887414,294395,21.49,13.05,2.4,D-Link,5
Aug-17,101.6,102.15,87.5,95.45,335772,4532,31660183,158487,47.2,14.65,-6.15,D-Link,5
Sep-17,97,116.5,85.1,106.05,1231002,16171,125717403,452807,36.78,31.4,9.05,D-Link,5
Oct-17,107,128.7,105.65,122.45,1853391,22065,225343801,455602,24.58,23.05,15.45,D-Link,5
Nov-17,129,140.35,110.05,128.7,2834435,28978,364259609,763788,26.95,30.3,-0.3,D-Link,5
Dec-17,129.05,133,120,126.55,507327,6213,64809742,224381,44.23,13,-2.5,D-Link,5
Jan-18,127,153.3,123.2,128.95,2182931,26394,301806183,446999,20.48,30.1,1.95,D-Link,5
Feb-18,130,133.9,102.1,107,747654,8553,85610702,264801,35.42,31.8,-23,D-Link,5
Mar-18,106,108.4,80.2,81.5,669915,5287,63330517,456831,68.19,28.2,-24.5,D-Link,5
Apr-18,82,114.9,81.15,103.35,1395003,16105,147095314,490655,35.17,33.75,21.35,D-Link,5
May-18,104.95,104.95,88,95.95,109793,1149,10561392,109793,100,16.95,-9,D-Link,5
Jun-18,96.9,96.9,81.2,85.15,107656,1259,9657947,107656,100,15.7,-11.75,D-Link,5
Jul-18,83,91.95,79.2,87.75,162859,1137,13857320,139690,85.77,12.75,4.75,D-Link,5
Aug-18,87.9,96.9,83.5,88.05,235813,1916,21175351,144466,61.26,13.4,0.15,D-Link,5
Sep-18,89.8,92,71.6,73.45,202732,1738,16604518,146327,72.18,20.4,-16.35,D-Link,5
Oct-18,73.45,78.2,62.15,77.8,154768,2334,11255800,90088,58.21,16.05,4.35,D-Link,5
Nov-18,77.85,87,70,70.6,133244,1449,10712487,83155,62.41,17,-7.25,D-Link,5
Dec-18,73.55,74.7,66,73.65,54158,743,3885135,37731,69.67,8.7,0.1,D-Link,5
Jan-19,73.75,83,71.8,76.25,76519,1312,6005845,31354,40.98,11.2,2.5,D-Link,5
