Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,18.7,41,18.7,37.15,43659,324,1321006,43659,100,22.3,18.45,ABC Gas,6
Feb-15,36.45,36.45,25.2,25.2,1866,108,57026,1866,100,11.25,-11.25,ABC Gas,6
Mar-15,24.7,24.7,17.2,17.2,2575,125,48093,2575,100,7.5,-7.5,ABC Gas,6
Apr-15,16.9,17.95,15.4,17.05,10990,160,176418,10990,100,2.55,0.15,ABC Gas,6
May-15,17.9,19.55,15.4,17,7088,91,122571,7088,100,4.15,-0.9,ABC Gas,6
Jun-15,17.85,17.85,13.65,15,7046,51,103769,7046,100,4.2,-2.85,ABC Gas,6
Jul-15,14.25,19,14.25,15.05,4866,44,79246,4866,100,4.75,0.8,ABC Gas,6
Aug-15,15.5,19.6,15.5,19.6,1073,12,18347,1073,100,4.1,4.1,ABC Gas,6
Sep-15,20,33.85,20,25.05,1954,48,52007,1954,100,13.85,5.05,ABC Gas,6
Oct-15,23.8,23.8,17.55,21.15,29013,234,617971,29013,100,6.25,-2.65,ABC Gas,6
Nov-15,22.2,26.25,17.7,17.7,3151,82,65645,3151,100,8.55,-4.5,ABC Gas,6
Dec-15,17.5,20.35,16,16.8,6148,38,105889,6148,100,4.35,-0.7,ABC Gas,6
Jan-16,17.6,21.8,17.6,19.9,1598,56,30578,1598,100,4.2,2.3,ABC Gas,6
Feb-16,19.9,25.85,17.1,17.3,5409,68,114006,5409,100,8.75,-2.6,ABC Gas,6
Mar-16,16.45,21.1,13.7,21.1,3240,65,52003,3240,100,7.4,4.65,ABC Gas,6
Apr-16,21.1,30.9,19.1,30.9,3146,55,85932,3146,100,11.8,9.8,ABC Gas,6
May-16,32.4,33.75,22.05,23.1,1543,37,44922,1543,100,11.7,-9.3,ABC Gas,6
Jun-16,24.1,24.1,17,18.1,3345,47,61599,3345,100,7.1,-6,ABC Gas,6
Jul-16,17.2,17.75,16.05,16.25,2554,10,42312,2554,100,1.7,-0.95,ABC Gas,6
Aug-16,15.65,16.5,15.05,16.5,11590,10,182656,11590,100,1.45,0.85,ABC Gas,6
Sep-16,16.5,22.8,15.75,22.5,5124,47,95776,5124,100,7.05,6,ABC Gas,6
Oct-16,22.5,28.1,22.25,23.75,3895,59,98144,3895,100,5.85,1.25,ABC Gas,6
Nov-16,24.9,27.3,22.3,23.5,17234,47,427463,17234,100,5,-1.4,ABC Gas,6
Dec-16,24.5,26.95,15.9,15.9,1733,36,35905,1733,100,11.05,-8.6,ABC Gas,6
Jan-17,15.9,20.65,13.95,20.65,3032,28,47150,3032,100,6.7,4.75,ABC Gas,6
Feb-17,20.9,21.65,17.25,17.9,12759,69,248714,12759,100,4.4,-3,ABC Gas,6
Mar-17,18.5,18.75,12.55,12.6,14212,41,235318,14212,100,6.2,-5.9,ABC Gas,6
Apr-17,12.6,19.42,12.6,18.85,3239,42,53368,3239,100,6.82,6.25,ABC Gas,6
May-17,18,23.9,18,23.9,707,24,14124,707,100,5.9,5.9,ABC Gas,6
Dec-17,25,25,23.75,25,205,4,5040,205,100,1.25,0,ABC Gas,6
Jan-18,23.75,23.75,22.6,23.65,1250,5,29517,1250,100,1.15,-0.1,ABC Gas,6
Feb-18,24,24.9,24,24.9,55,4,1347,55,100,0.9,0.9,ABC Gas,6
Mar-18,23.7,23.7,23.7,23.7,7,2,165,7,100,0,0,ABC Gas,6
Apr-18,23.7,25.4,23.5,23.5,332,19,8196,332,100,1.9,-0.2,ABC Gas,6
May-18,24.6,27.05,22.35,26,1240,28,30895,1240,100,4.7,1.4,ABC Gas,6
Jun-18,25,25,25,25,23,1,575,23,100,0,0,ABC Gas,6
Jul-18,24.5,24.5,22.05,22.05,584,6,14221,584,100,2.45,-2.45,ABC Gas,6
Aug-18,20.95,21.5,19.95,20.45,182,5,3751,182,100,1.55,-0.5,ABC Gas,6
Sep-18,20.45,22.3,20.45,22.3,229,6,5055,229,100,1.85,1.85,ABC Gas,6
Oct-18,23.35,23.35,23.3,23.3,6,2,139,6,100,0.05,-0.05,ABC Gas,6
Nov-18,23.3,23.3,23.3,23.3,3,1,69,3,100,0,0,ABC Gas,6
Dec-18,24.4,24.4,23.2,23.2,2,2,47,2,100,1.2,-1.2,ABC Gas,6
Jan-19,22.05,22.05,22.05,22.05,3,1,66,3,100,0,0,ABC Gas,6
