Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,0.75,0.84,0.68,0.79,163586,186,124398,157073,96.02,0.16,0.04,Bhoruka,6
Feb-15,0.84,0.9,0.67,0.75,583546,249,471611,567321,97.22,0.23,-0.09,Bhoruka,6
Mar-15,0.7,0.89,0.5,0.62,442749,258,275611,418172,94.45,0.39,-0.08,Bhoruka,6
Apr-15,0.63,0.69,0.5,0.62,501120,218,294387,459795,91.75,0.19,-0.01,Bhoruka,6
May-15,0.64,0.64,0.5,0.53,256135,102,137908,231535,90.4,0.14,-0.11,Bhoruka,6
Jun-15,0.53,0.72,0.5,0.55,218266,117,123869,206830,94.76,0.22,0.02,Bhoruka,6
Jul-15,0.49,0.6,0.49,0.6,194783,81,103596,194460,99.83,0.11,0.11,Bhoruka,6
Aug-15,0.63,0.71,0.6,0.66,94939,77,60934,93939,98.95,0.11,0.03,Bhoruka,6
Sep-15,0.63,0.63,0.48,0.52,110311,70,55861,109311,99.09,0.15,-0.11,Bhoruka,6
Oct-15,0.52,0.64,0.47,0.49,136242,132,73408,124790,91.59,0.17,-0.03,Bhoruka,6
Nov-15,0.47,0.52,0.43,0.48,686694,226,328186,642095,93.51,0.09,0.01,Bhoruka,6
Dec-15,0.5,0.72,0.45,0.67,582399,334,331871,528513,90.75,0.27,0.17,Bhoruka,6
Jan-16,0.65,0.81,0.61,0.63,222446,155,161900,210420,94.59,0.2,-0.02,Bhoruka,6
Feb-16,0.66,0.67,0.46,0.46,92512,72,53717,84912,91.78,0.21,-0.2,Bhoruka,6
Mar-16,0.5,0.52,0.4,0.5,164748,74,74161,160992,97.72,0.12,0,Bhoruka,6
Apr-16,0.52,0.52,0.38,0.38,36901,23,15574,36401,98.65,0.14,-0.14,Bhoruka,6
May-16,0.37,0.52,0.37,0.5,53013,39,24763,52813,99.62,0.15,0.13,Bhoruka,6
Jun-16,0.52,0.52,0.48,0.48,72687,28,37039,72687,100,0.04,-0.04,Bhoruka,6
Jul-16,0.46,0.52,0.44,0.48,343390,116,165245,286854,83.54,0.08,0.02,Bhoruka,6
Aug-16,0.46,0.49,0.4,0.41,286425,119,126456,277694,96.95,0.09,-0.05,Bhoruka,6
Sep-16,0.41,0.54,0.39,0.52,219684,105,97135,194534,88.55,0.15,0.11,Bhoruka,6
Oct-16,0.54,0.67,0.5,0.67,306349,119,191795,305949,99.87,0.17,0.13,Bhoruka,6
Nov-16,0.64,0.76,0.55,0.64,123223,77,81274,123223,100,0.21,0,Bhoruka,6
Dec-16,0.67,0.67,0.47,0.53,259331,129,137732,258831,99.81,0.2,-0.14,Bhoruka,6
Jan-17,0.55,0.61,0.5,0.6,67682,55,38323,66282,97.93,0.11,0.05,Bhoruka,6
Feb-17,0.6,0.69,0.47,0.48,84731,86,48800,84617,99.87,0.22,-0.12,Bhoruka,6
Mar-17,0.46,0.62,0.44,0.62,184966,91,90311,168715,91.21,0.18,0.16,Bhoruka,6
Apr-17,0.65,0.71,0.59,0.65,108443,49,70461,106444,98.16,0.12,0,Bhoruka,6
May-17,0.65,0.71,0.58,0.59,73463,53,46905,71681,97.57,0.13,-0.06,Bhoruka,6
Jun-17,0.57,0.58,0.51,0.53,78601,65,42887,74451,94.72,0.07,-0.04,Bhoruka,6
Jul-17,0.51,0.66,0.47,0.6,59834,69,32404,58635,98,0.19,0.09,Bhoruka,6
Aug-17,0.57,0.62,0.57,0.59,300,3,178,300,100,0.05,0.02,Bhoruka,6
Jan-18,0.59,0.59,0.59,0.59,1000,2,590,1000,100,0,0,Bhoruka,6
Apr-18,0.59,0.64,0.45,0.46,152295,82,79935,152285,99.99,0.19,-0.13,Bhoruka,6
May-18,0.48,0.63,0.44,0.57,108304,71,58268,106804,98.62,0.19,0.09,Bhoruka,6
Jun-18,0.59,0.64,0.56,0.58,35996,41,21476,35996,100,0.08,-0.01,Bhoruka,6
Jul-18,0.6,0.63,0.53,0.53,19216,35,11155,19216,100,0.1,-0.07,Bhoruka,6
Aug-18,0.53,0.53,0.44,0.5,117809,140,56478,117684,99.89,0.09,-0.03,Bhoruka,6
Sep-18,0.48,0.55,0.44,0.51,87823,109,43441,86612,98.62,0.11,0.03,Bhoruka,6
Oct-18,0.49,0.78,0.49,0.77,80610,74,52232,80311,99.63,0.29,0.28,Bhoruka,6
Nov-18,0.8,0.88,0.75,0.84,58836,53,46743,58236,98.98,0.13,0.04,Bhoruka,6
Dec-18,0.88,0.88,0.76,0.8,26197,32,20965,26107,99.66,0.12,-0.08,Bhoruka,6
Jan-19,0.84,0.89,0.81,0.81,5711,10,5045,5711,100,0.08,-0.03,Bhoruka,6
