Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,340,357.8,328.6,351.45,8780525,236460,3032866247,3076544,35.04,29.2,11.45,ONGC,6
Feb-15,352,373.7,313,324.95,9214585,264357,3126784659,2673719,29.02,60.7,-27.05,ONGC,6
Mar-15,329,329.8,301,306.8,12064376,211279,3772150910,6524413,54.08,28.8,-22.2,ONGC,6
Apr-15,307,333,304,304.6,7550043,187871,2386513231,3413369,45.21,29,-2.4,ONGC,6
May-15,307,343,307,329.95,8089317,165702,2613450598,2742467,33.9,36,22.95,ONGC,6
Jun-15,330,330,297.35,309.65,5573261,81828,1734339638,1290051,23.15,32.65,-20.35,ONGC,6
Jul-15,309.25,316.9,263.6,273.05,6779286,110442,1958337084,2439033,35.98,53.3,-36.2,ONGC,6
Aug-15,273,284.35,208,239.8,11476730,129454,2957893375,4823902,42.03,76.35,-33.2,ONGC,6
Sep-15,242,243.35,217.65,229.5,9847800,106690,2260488881,4566111,46.37,25.7,-12.5,ONGC,6
Oct-15,230,267.65,228.05,247.85,6756097,94600,1700360392,2232661,33.05,39.6,17.85,ONGC,6
Nov-15,246.5,256.3,221.5,234.3,7294507,74645,1734487209,3504856,48.05,34.8,-12.2,ONGC,6
Dec-15,235,243.8,211.3,241.9,9763613,95227,2205693182,4545020,46.55,32.5,6.9,ONGC,6
Jan-16,240,244.85,206.25,226.1,10009236,89194,2233673504,3817539,38.14,38.6,-13.9,ONGC,6
Feb-16,227,227.9,188,194.1,9613121,118989,2000250140,2732902,28.43,39.9,-32.9,ONGC,6
Mar-16,192.6,219.05,188.6,214.75,18810428,162989,3863129988,9256874,49.21,30.45,22.15,ONGC,6
Apr-16,214.2,225.3,204,217.9,11231685,86120,2397412155,7019523,62.5,21.3,3.7,ONGC,6
May-16,218.6,221.4,200,211.15,9295760,115938,1955920204,3149387,33.88,21.4,-7.45,ONGC,6
Jun-16,212,222.65,207.15,216.3,7171448,84864,1538598473,2656916,37.05,15.5,4.3,ONGC,6
Jul-16,217.3,241.3,216.3,219.95,17569505,139034,3969564880,10601702,60.34,25,2.65,ONGC,6
Aug-16,223,243.85,217.85,237.05,15967799,95363,3737212141,10649196,66.69,26,14.05,ONGC,6
Sep-16,236.4,263,235.2,256.7,13423684,126686,3362699277,5516842,41.1,27.8,20.3,ONGC,6
Oct-16,257.1,296.8,252.75,289.95,12968833,127181,3614625451,5741447,44.27,44.05,32.85,ONGC,6
Nov-16,289.5,290.9,250.9,289,10511330,122272,2906789161,4343033,41.32,40,-0.5,ONGC,6
Dec-16,294.6,315,187.6,191.45,20595350,92956,5204955753,15557864,75.54,127.4,-103.15,ONGC,6
Jan-17,191.45,212,191.1,202.15,13089809,110615,2628930657,6609640,50.49,20.9,10.7,ONGC,6
Feb-17,205.5,205.5,191,193.4,11845675,111692,2327689986,6312132,53.29,14.5,-12.1,ONGC,6
Mar-17,197,197.25,183.5,185.05,11500942,94613,2201349064,6314002,54.9,13.75,-11.95,ONGC,6
Apr-17,186,188.65,178.6,186.3,8293249,60037,1525152807,3671123,44.27,10.05,0.3,ONGC,6
May-17,188.1,194.75,171.35,177.05,20923549,100479,3804991442,11710735,55.97,23.4,-11.05,ONGC,6
Jun-17,177.5,177.95,155.3,157.3,18944771,85418,3186410307,10689687,56.43,22.65,-20.2,ONGC,6
Jul-17,157.3,169.95,156,169.35,19977419,134481,3254945012,9405192,47.08,13.95,12.05,ONGC,6
Aug-17,170,170.8,156.1,157,10189217,64772,1649955368,5017316,49.24,14.7,-13,ONGC,6
Sep-17,158.45,174.15,157.45,170.65,17340282,88231,2868023925,8050749,46.43,16.7,12.2,ONGC,6
Oct-17,173.3,192,167.8,191.1,8697152,59030,1548574206,3161083,36.35,24.2,17.8,ONGC,6
