Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,14.8,19.29,14,16.75,92664,651,1570532,66473,71.74,5.29,1.95,Advance Meters,7
Feb-15,14.2,17.6,13.35,16.45,62020,715,962196,51162,82.49,4.25,2.25,Advance Meters,7
Mar-15,16,17.8,11.55,13.5,90393,560,1311994,79883,88.37,6.25,-2.5,Advance Meters,7
Apr-15,13,15.15,12.11,13.99,11291,155,154051,10044,88.96,3.04,0.99,Advance Meters,7
May-15,13.5,18.3,12.5,13.67,133956,1259,2096761,96488,72.03,5.8,0.17,Advance Meters,7
Jun-15,14,16.24,13,15.68,46394,208,695166,41469,89.38,3.24,1.68,Advance Meters,7
Jul-15,17.7,33.25,15.1,23.4,634822,2611,16969061,445214,70.13,18.15,5.7,Advance Meters,7
Aug-15,22.35,24.75,14.7,17.3,161326,812,3384005,124411,77.12,10.05,-5.05,Advance Meters,7
Sep-15,18.1,21.8,18,19.2,67298,366,1329457,54580,81.1,3.8,1.1,Advance Meters,7
Oct-15,18.35,24.5,18,24.45,309275,850,6969870,259913,84.04,6.5,6.1,Advance Meters,7
Nov-15,24.8,29.3,23.35,27.5,454971,1254,12420433,396121,87.07,5.95,2.7,Advance Meters,7
Dec-15,27.75,36,22.5,33.55,513671,1865,15558400,390836,76.09,13.5,5.8,Advance Meters,7
Jan-16,32.6,35.5,25.15,28.2,108361,422,3319754,75361,69.55,10.35,-4.4,Advance Meters,7
Feb-16,27.25,28.6,18.55,22.7,45992,269,1071962,31552,68.6,10.05,-4.55,Advance Meters,7
Mar-16,21.55,28.9,21.1,25.2,795921,349,20561362,82175,10.32,7.8,3.65,Advance Meters,7
Apr-16,25.05,30.5,25,28.9,35556,235,996269,23710,66.68,5.5,3.85,Advance Meters,7
May-16,28,36.2,26.5,31.35,125964,526,4017919,101582,80.64,9.7,3.35,Advance Meters,7
Jun-16,32,35,29.6,31.15,96964,455,3102894,64395,66.41,5.4,-0.85,Advance Meters,7
Jul-16,32,37.2,26,34.05,145356,834,4750938,55453,38.15,11.2,2.05,Advance Meters,7
Aug-16,36.9,36.95,29,33.5,156344,1070,5357927,104577,66.89,7.95,-3.4,Advance Meters,7
Sep-16,33.5,34.75,27.1,27.6,70310,410,2188936,49799,70.83,7.65,-5.9,Advance Meters,7
Oct-16,29.95,35,28,29.3,92605,521,2853188,58840,63.54,7,-0.65,Advance Meters,7
Nov-16,30,33,26.55,28.85,49234,351,1456990,29717,60.36,6.45,-1.15,Advance Meters,7
Dec-16,28,33.5,26,26.05,98039,723,2862804,63974,65.25,7.5,-1.95,Advance Meters,7
Jan-17,26.35,32.5,25,29.25,134485,645,3983078,81267,60.43,7.5,2.9,Advance Meters,7
Feb-17,30,30,22.6,25.7,120922,538,3153389,95244,78.76,7.4,-4.3,Advance Meters,7
Mar-17,24.5,29.5,23,24.45,364504,1766,9775397,154850,42.48,6.5,-0.05,Advance Meters,7
Apr-17,24.7,26,22.5,22.8,206751,906,4977571,169392,81.93,3.5,-1.9,Advance Meters,7
May-17,22.75,25,20.45,22.6,254220,1133,5819939,220479,86.73,4.55,-0.15,Advance Meters,7
Jun-17,22.9,27.85,21.5,24,274748,961,6738464,217290,79.09,6.35,1.1,Advance Meters,7
Jul-17,25,35.85,23.55,31.6,658352,2256,19831717,546968,83.08,12.3,6.6,Advance Meters,7
Aug-17,31.95,32,22.5,30.95,285532,1100,8169125,248869,87.16,9.5,-1,Advance Meters,7
Sep-17,30,33.9,25.9,32.45,695989,2928,20612254,494682,71.08,8,2.45,Advance Meters,7
Oct-17,32.5,41.8,31.25,38.85,643751,2513,23575508,535875,83.24,10.55,6.35,Advance Meters,7
Nov-17,38,42,32.2,36.35,575646,2396,21538479,459419,79.81,9.8,-1.65,Advance Meters,7
Dec-17,36.2,39.5,31.45,34.45,413073,1674,14256410,332940,80.6,8.05,-1.75,Advance Meters,7
Jan-18,35.4,37.5,26.55,28.7,202604,947,6408132,173117,85.45,10.95,-6.7,Advance Meters,7
Feb-18,28.7,29.6,21.1,24,218309,867,5344578,176342,80.78,8.5,-4.7,Advance Meters,7
Mar-18,21.75,24.5,21.55,22.75,112288,428,2581953,108110,96.28,2.95,1,Advance Meters,7
Apr-18,23.45,26,21.65,24,114163,456,2615201,95886,83.99,4.35,0.55,Advance Meters,7
May-18,22,26,21,22.9,68192,342,1512082,58037,85.11,5,0.9,Advance Meters,7
Jun-18,22,23,18,18.35,55047,314,1117191,47699,86.65,5,-3.65,Advance Meters,7
Jul-18,18,21.95,15,20,80892,391,1472001,69209,85.56,6.95,2,Advance Meters,7
Aug-18,21.2,21.2,16.85,19.15,57225,400,1036797,49856,87.12,4.35,-2.05,Advance Meters,7
Sep-18,19,20.1,15.55,17.25,33970,259,592419,29561,87.02,4.55,-1.75,Advance Meters,7
Oct-18,17,25.15,16,23,337860,1304,7371149,285950,84.64,9.15,6,Advance Meters,7
Nov-18,22.5,29.5,22.4,26.5,199672,673,5371471,199672,100,7.1,4,Advance Meters,7
Dec-18,26.5,34,26.5,33.35,152543,600,4711813,152543,100,7.5,6.85,Advance Meters,7
Jan-19,34.8,35,32.5,33.55,36279,188,1230895,36279,100,2.5,-1.25,Advance Meters,7
