Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,646.7,682.95,580,585,3017802,191110,1901749563,437146,14.49,102.95,-61.7,BFU,7
Feb-15,587.65,661.7,514.45,609.25,4927124,311116,2985786333,557374,11.31,147.25,21.6,BFU,7
Mar-15,614.95,890,605,707.85,11819314,735850,8898307997,1217345,10.3,285,92.9,BFU,7
Apr-15,710,872,606.15,665.2,7266221,445752,5516914947,904278,12.44,265.85,-44.8,BFU,7
May-15,671.5,717.65,619.25,635,3065521,146897,2018581588,396453,12.93,98.4,-36.5,BFU,7
Jun-15,635.1,649,497.05,565.55,4501514,158116,2503095569,430801,9.57,151.95,-69.55,BFU,7
Jul-15,568.9,602.7,521,552.85,2913885,101543,1652343191,469200,16.1,81.7,-16.05,BFU,7
Aug-15,553.7,652,448,510.1,6030462,203297,3501528010,704551,11.68,204,-43.6,BFU,7
Sep-15,503,515.75,454.2,468.25,2229325,84472,1081381981,323459,14.51,61.55,-34.75,BFU,7
Oct-15,472,638,468,576.3,5977866,204926,3336589812,602176,10.07,170,104.3,BFU,7
Nov-15,580,624,532.6,602.1,4997835,169080,2946710263,520321,10.41,91.4,22.1,BFU,7
Dec-15,606.5,691.9,573.5,661.15,7726232,256168,4896734289,963913,12.48,118.4,54.65,BFU,7
Jan-16,667,724.1,501.25,546.5,5506051,189992,3397089604,642094,11.66,222.85,-120.5,BFU,7
Feb-16,550.1,557.4,389.85,490.8,5580092,186668,2802472074,483432,8.66,167.55,-59.3,BFU,7
Mar-16,492.1,614,492.1,565.35,6095991,216108,3471004059,665812,10.92,121.9,73.25,BFU,7
Apr-16,566,613.5,549.75,582.4,3405687,123269,1982091723,440842,12.94,63.75,16.4,BFU,7
May-16,578.1,590,518.95,538.5,2514107,97791,1412846534,386961,15.39,71.05,-39.6,BFU,7
Jun-16,538.5,554.75,481.8,529.7,2362098,85798,1238086934,379686,16.07,72.95,-8.8,BFU,7
Jul-16,533,578,512.2,523.75,2796832,89922,1516678685,394140,14.09,65.8,-9.25,BFU,7
Aug-16,528.1,643.7,509.3,612.05,6744509,242350,3971981259,743192,11.02,134.4,83.95,BFU,7
Sep-16,615.7,639.25,526.15,549.6,3555440,116916,2130494177,481733,13.55,113.1,-66.1,BFU,7
Oct-16,556.7,618.25,547,553.4,1904706,62623,1103886204,380189,19.96,71.25,-3.3,BFU,7
Nov-16,552.9,566.9,390.8,448.55,1655226,62391,767048069,344414,20.81,176.1,-104.35,BFU,7
Dec-16,450,454.05,363.95,391.65,2257959,77510,918480908,491661,21.77,90.1,-58.35,BFU,7
Jan-17,393,407.9,356.3,359.4,2400095,68322,939921560,697710,29.07,51.6,-33.6,BFU,7
Feb-17,360,432,357.5,401.05,3601679,99370,1445840633,856797,23.79,74.5,41.05,BFU,7
Mar-17,404,461.9,390.6,441.45,5799545,147737,2464039311,1246402,21.49,71.3,37.45,BFU,7
Apr-17,445,483.9,435.85,457.4,4007086,87325,1836275047,844609,21.08,48.05,12.4,BFU,7
May-17,459,480,374.6,396.3,3163998,71413,1381391735,730946,23.1,105.4,-62.7,BFU,7
Jun-17,398.95,437,377.05,386.25,2460854,54917,1008285219,480259,19.52,59.95,-12.7,BFU,7
Jul-17,387.5,409.85,379.55,380.5,1648078,36616,652989317,354629,21.52,30.3,-7,BFU,7
Aug-17,382.4,388,313.2,370.65,2029384,43745,716095366,398717,19.65,74.8,-11.75,BFU,7
Sep-17,369,448.9,356,393.3,5720705,117860,2316027924,811822,14.19,92.9,24.3,BFU,7
Oct-17,399.5,466.8,394.45,452.7,3081859,61469,1292847226,516900,16.77,72.35,53.2,BFU,7
Nov-17,457.8,546.85,428.1,484.45,7530434,151488,3682646336,1032429,13.71,118.75,26.65,BFU,7
Dec-17,484,517,446,506.1,3627732,74069,1744377059,594338,16.38,71,22.1,BFU,7
Jan-18,509.4,599,475.7,484,5840502,121102,3149633499,984160,16.85,123.3,-25.4,BFU,7
Feb-18,487,512,400,440.55,2816655,56904,1298663509,411424,14.61,112,-46.45,BFU,7
Mar-18,440,448.75,359.1,381.65,2415650,49579,977619042,508081,21.03,89.65,-58.35,BFU,7
Apr-18,384.5,442.5,384.5,438.5,3150250,65251,1305142415,528496,16.78,58,54,BFU,7
May-18,436.05,444,362.25,380.25,3718055,74897,1509425488,672588,18.09,81.75,-55.8,BFU,7
Jun-18,377,380.4,306,313.25,1506890,35443,524070071,310927,20.63,74.4,-63.75,BFU,7
Jul-18,311,345.05,270,332.1,1847020,45537,575223666,338428,18.32,75.05,21.1,BFU,7
Aug-18,331.95,354.8,316.9,334.35,2564395,61601,863710138,397807,15.51,37.9,2.4,BFU,7
Sep-18,335.9,337.95,212,221.95,1246873,31243,370009783,271860,21.8,125.95,-113.95,BFU,7
Oct-18,221.9,227.9,188.5,213.5,1769785,42689,367991139,299183,16.91,39.4,-8.4,BFU,7
Nov-18,216,230.7,209.5,213.3,1327180,31601,289172544,234432,17.66,21.2,-2.7,BFU,7
Dec-18,215.45,220.25,191.35,216,1202591,25833,250973503,286883,23.86,28.9,0.55,BFU,7
Jan-19,216.3,236.5,212.6,232.9,876987,16767,199201610,120299,13.72,23.9,16.6,BFU,7
