Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector Id
Jan-15,41,46,28.5,36.5,1118602,4469,42235640,873308,78.07,17.5,-4.5,Asian Oils,8
Feb-15,39.4,49,34.2,35.5,650453,5038,27388729,541651,83.27,14.8,-3.9,Asian Oils,8
Mar-15,35,35.05,29.3,31.15,291535,2062,9198625,266497,91.41,5.75,-3.85,Asian Oils,8
Apr-15,30.75,43.85,30.75,35.5,360328,3218,13922317,263912,73.24,13.1,4.75,Asian Oils,8
May-15,32.65,47.9,32.65,39,419358,1999,17277524,318023,75.84,15.25,6.35,Asian Oils,8
Jun-15,40.95,40.95,29.25,33,147061,1006,5083520,130469,88.72,11.7,-7.95,Asian Oils,8
Jul-15,34.35,73,32,71.1,1144923,5638,62880444,866155,75.65,41,36.75,Asian Oils,8
Aug-15,72.5,79.25,44.7,50.25,1264524,3822,76532979,1091510,86.32,34.55,-22.25,Asian Oils,8
Sep-15,50.9,56.8,41.75,54.7,405067,1401,19139197,353138,87.18,15.05,3.8,Asian Oils,8
Oct-15,56.8,61,45,45.15,386914,1999,20236827,327008,84.52,16,-11.65,Asian Oils,8
Nov-15,46,64.9,43.25,59.6,879219,3570,50540921,753051,85.65,21.65,13.6,Asian Oils,8
Dec-15,58.5,71.5,52.55,53.4,1565363,5901,99052350,1113091,71.11,18.95,-5.1,Asian Oils,8
Jan-16,53.25,60.2,37.5,44.85,967490,3587,44787641,757503,78.3,22.7,-8.4,Asian Oils,8
Feb-16,44,45.5,27.9,30.3,570481,1725,19113208,479891,84.12,17.6,-13.7,Asian Oils,8
Mar-16,31.1,34.75,29.7,30.15,641776,2059,19910121,504766,78.65,5.05,-0.95,Asian Oils,8
Apr-16,30.5,37.9,30.4,34.45,309698,1475,10688590,274188,88.53,7.5,3.95,Asian Oils,8
May-16,34,37,32.5,34.1,272781,1059,9393519,247183,90.62,4.5,0.1,Asian Oils,8
Jun-16,34.4,45.75,32.1,42.85,631898,2401,25774330,533790,84.47,13.65,8.45,Asian Oils,8
Jul-16,43,61.2,39.5,53.65,979442,4307,49476463,734645,75.01,21.7,10.65,Asian Oils,8
Aug-16,53.25,74.9,52.6,67.55,1049238,4586,67361718,872147,83.12,22.3,14.3,Asian Oils,8
Sep-16,68,73.45,53,58.35,1549409,6122,99801037,1075998,69.45,20.45,-9.65,Asian Oils,8
Oct-16,59,89.8,57,85.55,2938403,12704,219570376,2280550,77.61,32.8,26.55,Asian Oils,8
Nov-16,85.6,94.8,65,90.55,1758879,7951,140540801,1336686,76,29.8,4.95,Asian Oils,8
Dec-16,94.5,124,94.5,114.45,4568112,30655,510783723,2896492,63.41,29.5,19.95,Asian Oils,8
Jan-17,116.9,138.9,114.2,130.75,2066496,16034,269711082,1279068,61.9,24.7,13.85,Asian Oils,8
Feb-17,130.05,181,121.9,177.05,3124318,22478,483496882,2161089,69.17,59.1,47,Asian Oils,8
Mar-17,179.45,249.6,177.5,232.45,2972686,23546,640105960,1787156,60.12,72.1,53,Asian Oils,8
Apr-17,236.4,239.7,192.9,209.1,1460732,8976,310051194,1070768,73.3,46.8,-27.3,Asian Oils,8
May-17,211.15,223.7,182.1,193.3,1017955,9478,205148666,731188,71.83,41.6,-17.85,Asian Oils,8
Jun-17,194.05,224.7,181,190.8,1056983,8229,213350670,815183,77.12,43.7,-3.25,Asian Oils,8
Jul-17,191.1,203.65,165,177.5,567787,6197,108832562,473289,83.36,38.65,-13.6,Asian Oils,8
Aug-17,182,195,168.75,192.85,877503,4889,158167541,674131,76.82,26.25,10.85,Asian Oils,8
Sep-17,195,211,175,181.15,1254104,11777,247598487,915410,72.99,36,-13.85,Asian Oils,8
Oct-17,181.25,203,178.05,191.1,483144,3774,91542431,380124,78.68,24.95,9.85,Asian Oils,8
Nov-17,190,222,182.55,206.25,1314950,10992,269693840,925798,70.41,39.45,16.25,Asian Oils,8
Dec-17,208.05,273.5,202,266.25,2846901,16014,647636323,1893960,66.53,71.5,58.2,Asian Oils,8
Jan-18,266,297.45,238.8,243.95,1681429,10346,465332675,1309194,77.86,58.65,-22.05,Asian Oils,8
Feb-18,244,273.55,224,227.15,893198,5265,220445335,713439,79.87,49.55,-16.85,Asian Oils,8
Mar-18,221,229.95,183.05,187,568658,3053,111140659,469192,82.51,46.9,-34,Asian Oils,8
Apr-18,189.05,209.25,181,181.55,574460,3148,112480040,489411,85.19,28.25,-7.5,Asian Oils,8
May-18,182,183.9,110,121.8,2082028,7651,284861899,1395938,67.05,73.9,-60.2,Asian Oils,8
Jun-18,123.5,126,109,115.95,618561,2806,72475471,514674,83.21,17,-7.55,Asian Oils,8
Jul-18,119,119,88,92.15,479267,2351,48591091,411024,85.76,31,-26.85,Asian Oils,8
Aug-18,92,125,75.25,121.6,1125729,7543,113558546,682306,60.61,49.75,29.6,Asian Oils,8
Sep-18,123.7,123.7,91.2,91.2,260999,2430,27784822,199576,76.47,32.5,-32.5,Asian Oils,8
Oct-18,86.65,97.2,69.95,86.8,185254,1185,15450476,170938,92.27,27.25,0.15,Asian Oils,8
Nov-18,91,91.7,69,83.7,145276,1013,11389827,128471,88.43,22.7,-7.3,Asian Oils,8
Dec-18,87.8,94,75.55,80.4,266486,1919,23104774,209641,78.67,18.45,-7.4,Asian Oils,8
Jan-19,83.8,84.55,74.1,77.55,37582,275,2879529,27194,72.36,10.45,-6.25,Asian Oils,8
