Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,646,761.5,630.2,746.25,2333571,142341,1577770702,696121,29.83,131.3,100.25,BPCL,8
Feb-15,740,772,689.5,745.45,3014528,157142,2210258798,671510,22.28,82.5,5.45,BPCL,8
Mar-15,754.55,814.7,714.6,809.95,2349721,155150,1799896019,688815,29.31,100.1,55.4,BPCL,8
Apr-15,806,835,722,765.75,2072557,120322,1651487637,597735,28.84,113,-40.25,BPCL,8
May-15,773.1,857,704.4,849.6,1770920,93923,1387645754,346497,19.57,152.6,76.5,BPCL,8
Jun-15,851,883.9,803.25,877.2,2810027,94786,2385394737,733972,26.12,80.65,26.2,BPCL,8
Jul-15,880,987,864.2,925.4,3290799,103707,3062332434,944374,28.7,122.8,45.4,BPCL,8
Aug-15,930,979.45,803.8,883.55,3755174,124484,3325688070,638671,17.01,175.65,-46.45,BPCL,8
Sep-15,885,898,812.1,849.65,2638579,76306,2233064069,1223686,46.38,85.9,-35.35,BPCL,8
Oct-15,860.25,924.6,837.85,870.85,1554701,69973,1374750995,488048,31.39,86.75,10.6,BPCL,8
Nov-15,872.2,924.5,862,904.3,1198695,52724,1076884196,318162,26.54,62.5,32.1,BPCL,8
Dec-15,900,946.25,868,893.35,2628309,55700,2383303610,1607098,61.15,78.25,-6.65,BPCL,8
Jan-16,900,946.9,861,894.5,1313784,70065,1177758296,338393,25.76,85.9,-5.5,BPCL,8
Feb-16,893.45,893.45,732.2,769.8,1943617,86688,1535505927,341781,17.58,161.25,-123.65,BPCL,8
Mar-16,772,922,769.75,901.6,1576324,71594,1329250938,383174,24.31,152.25,129.6,BPCL,8
Apr-16,895.05,994.2,879,978.8,1555407,68727,1457964037,435967,28.03,115.2,83.75,BPCL,8
May-16,983.95,1024.4,882.95,981.35,1846701,80034,1781969150,345358,18.7,141.45,-2.6,BPCL,8
Jun-16,1000,1077.9,922,1069.9,2087576,80371,2109844878,706844,33.86,155.9,69.9,BPCL,8
Jul-16,1076.5,1152.45,543.25,592.55,4394720,93510,3382407077,2131892,48.51,609.2,-483.95,BPCL,8
Aug-16,604,616.55,559,602.35,3903844,99495,2309196520,968738,24.81,57.55,-1.65,BPCL,8
Sep-16,600,630,563.45,612.7,3347377,83671,1982364501,1338517,39.99,66.55,12.7,BPCL,8
Oct-16,620,694.75,615.55,670.45,2039386,60355,1349335110,489666,24.01,79.2,50.45,BPCL,8
Nov-16,671,679.9,600,644.05,2450530,84955,1577258802,1019602,41.61,79.9,-26.95,BPCL,8
Dec-16,640,645.65,599,634.55,3750571,72822,2314624021,1866773,49.77,46.65,-5.45,BPCL,8
Jan-17,637,726,635,681.2,2485324,71121,1661868737,880632,35.43,91,44.2,BPCL,8
Feb-17,683.75,735,663.25,669.6,3087798,63380,2156275993,711607,23.05,71.75,-14.15,BPCL,8
Mar-17,671,677,615.9,648.95,4950551,75695,3185920249,2766243,55.88,61.1,-22.05,BPCL,8
Apr-17,652,744.65,631.05,719.25,2141953,49473,1503893435,533288,24.9,113.6,67.25,BPCL,8
May-17,721,769.85,687,742.1,3150257,55229,2294551554,1025105,32.54,82.85,21.1,BPCL,8
Jun-17,744,744,600.25,638.95,2660777,64336,1783082328,721766,27.13,143.75,-105.05,BPCL,8
Jul-17,641,687,454.65,470.7,5502364,53046,3306874361,3915196,71.15,232.35,-170.3,BPCL,8
Aug-17,472,534.5,465.75,528.55,4422567,65985,2221621886,1172271,26.51,68.75,56.55,BPCL,8
Sep-17,530,546.15,450.45,472.1,9066879,93967,4469628606,4722083,52.08,95.7,-57.9,BPCL,8
Oct-17,475.6,550,467,541.6,3826352,46946,1926886645,1684648,44.03,83,66,BPCL,8
Nov-17,544.9,546.5,488,502.75,6617543,61196,3427786202,3624427,54.77,58.5,-42.15,BPCL,8
Dec-17,504,540.7,490,518.7,2796208,39135,1441708547,890460,31.85,50.7,14.7,BPCL,8
Jan-18,519,522.65,465,491.9,7638252,63750,3705139427,5649872,73.97,57.65,-27.1,BPCL,8
Feb-18,494.4,494.4,423,429.35,5344342,56158,2396243946,3437954,64.33,71.4,-65.05,BPCL,8
Mar-18,432.05,467,402.65,427.95,3789146,34576,1624698263,1960793,51.75,64.35,-4.1,BPCL,8
Apr-18,425.1,454.95,370,388.15,7385481,94394,2965767318,1778717,24.08,84.95,-36.95,BPCL,8
May-18,389.5,412.8,359.6,403.95,7052907,73335,2754792265,2281390,32.35,53.2,14.45,BPCL,8
Jun-18,404,428.8,361.75,371.55,12381607,80627,5085629180,6794451,54.88,67.05,-32.45,BPCL,8
Jul-18,374.15,406.8,364.5,389.3,3587329,51585,1378581829,636170,17.73,42.3,15.15,BPCL,8
Aug-18,396,405,354.3,362.2,3977555,54384,1501661592,1084309,27.26,50.7,-33.8,BPCL,8
Sep-18,363.4,383,324.25,373.7,5509940,67300,1978254039,1559209,28.3,58.75,10.3,BPCL,8
Oct-18,374,383.4,239,274.7,18451886,200186,5171231841,4741309,25.7,144.4,-99.3,BPCL,8
Nov-18,277.9,342,275.5,323,9586548,83025,3031504560,1568372,16.36,66.5,45.1,BPCL,8
Dec-18,323,376.6,317.7,362.75,7633792,57889,2624134833,1914983,25.09,58.9,39.75,BPCL,8
Jan-19,362.75,369.85,347.65,356.5,2133939,22477,760425163,700365,32.82,22.2,-6.25,BPCL,8
