Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,65.25,68.2,58,61.8,581938,12346,37206258,244982,42.1,10.2,-3.45,Deep Industries,8
Feb-15,62.05,67.6,56.35,58.65,327782,6647,20602313,164825,50.28,11.25,-3.4,Deep Industries,8
Mar-15,58.1,63.65,45,47.15,494471,6538,25152125,382724,77.4,18.65,-10.95,Deep Industries,8
Apr-15,46.2,77,46,64.45,1073047,21208,73052830,523120,48.75,31,18.25,Deep Industries,8
May-15,65.4,94.8,61,83.1,1854082,17635,152704895,835644,45.07,33.8,17.7,Deep Industries,8
Jun-15,83.25,91.8,74.1,87.6,1921442,20133,166493841,583176,30.35,17.7,4.35,Deep Industries,8
Jul-15,88,136.45,79.05,126.2,6200123,63109,674480841,1284035,20.71,57.4,38.2,Deep Industries,8
Aug-15,128,166.6,107.3,140.3,3037218,45754,441160834,807447,26.59,59.3,12.3,Deep Industries,8
Sep-15,140,178.6,116.1,157.7,4642226,77037,704270780,714567,15.39,62.5,17.7,Deep Industries,8
Oct-15,159,213,152.5,202.9,6981101,99997,1341827416,1451777,20.8,60.5,43.9,Deep Industries,8
Nov-15,203.3,215.7,182.4,209,2661571,47224,537944073,512897,19.27,33.3,5.7,Deep Industries,8
Dec-15,211.1,214.5,182.2,185.6,1901984,34395,369152884,371063,19.51,32.3,-25.5,Deep Industries,8
Jan-16,186.1,189.9,151.1,180.4,2513034,40974,441104815,616224,24.52,38.8,-5.7,Deep Industries,8
Feb-16,183.9,196.8,117,128.4,1723818,24532,268061556,683852,39.67,79.8,-55.5,Deep Industries,8
Mar-16,127.4,157.9,123.9,144.3,2614097,36268,367540831,523159,20.01,34,16.9,Deep Industries,8
Apr-16,143,180.3,137.7,174.8,2591775,40078,415018210,621944,24,42.6,31.8,Deep Industries,8
May-16,173.5,184.2,155.85,160.55,1563334,26809,267844716,512902,32.81,28.35,-12.95,Deep Industries,8
Jun-16,162.15,190,160.35,175.7,1195393,23986,212651244,326653,27.33,29.65,13.55,Deep Industries,8
Jul-16,176,204,175,196.25,1142081,17721,215994303,311418,27.27,29,20.25,Deep Industries,8
Aug-16,198,211.4,174,199.05,1111741,20714,218586044,327610,29.47,37.4,1.05,Deep Industries,8
Sep-16,198.75,242.4,188.5,225.4,1550878,30629,340758379,343051,22.12,53.9,26.65,Deep Industries,8
Oct-16,227,288.45,226.1,267.2,1608994,34518,425634489,414093,25.74,62.35,40.2,Deep Industries,8
Nov-16,267.45,269.4,208,251.5,672541,15875,160691238,240568,35.77,61.4,-15.95,Deep Industries,8
Dec-16,255.8,313.2,243,281.35,1225345,31227,351795298,346593,28.29,70.2,25.55,Deep Industries,8
Jan-17,282,319.9,281.35,305.45,1122544,21188,336352160,497728,44.34,38.55,23.45,Deep Industries,8
Feb-17,305.6,332.95,303.05,307.45,483968,13540,153235321,138652,28.65,29.9,1.85,Deep Industries,8
Mar-17,309,343.7,295,329.45,10199002,20957,3306276759,9348240,91.66,48.7,20.45,Deep Industries,8
Apr-17,332.9,342,308.5,314.65,595114,9908,193006070,252189,42.38,33.5,-18.25,Deep Industries,8
May-17,318.5,339.7,295,317.25,486234,12792,157775659,132268,27.2,44.7,-1.25,Deep Industries,8
Jun-17,317,317.35,248,279.1,819847,19463,227654109,257731,31.44,69.35,-37.9,Deep Industries,8
Jul-17,281.75,303,239.75,243,510771,13225,143041808,190585,37.31,63.25,-38.75,Deep Industries,8
Aug-17,219.6,241,192,217.45,949341,18512,210658885,257932,27.17,49,-2.15,Deep Industries,8
Sep-17,218.25,250,205.2,219.95,10668431,19709,2296531861,9888212,92.69,44.8,1.7,Deep Industries,8
Oct-17,222.1,247,212.5,214,591194,10797,132193678,225101,38.08,34.5,-8.1,Deep Industries,8
Nov-17,217,236.25,203,212.35,605195,12043,133668476,239667,39.6,33.25,-4.65,Deep Industries,8
Dec-17,219.5,221.25,202,205.5,249781,5719,52182494,150394,60.21,19.25,-14,Deep Industries,8
Jan-18,203,244.1,203,204.4,1027002,19878,233346606,339170,33.03,41.1,1.4,Deep Industries,8
Feb-18,203.95,208.45,187,189.8,205511,5500,40603347,108482,52.79,21.45,-14.15,Deep Industries,8
Mar-18,191,191.4,144,145.35,265001,6204,43882650,167362,63.16,47.4,-45.65,Deep Industries,8
Apr-18,154,178.7,146.25,155.5,280266,9254,46351193,124649,44.48,32.45,1.5,Deep Industries,8
May-18,156.2,162,138.5,146.7,160664,4672,24210404,89551,55.74,23.5,-9.5,Deep Industries,8
Jun-18,144,145.15,82.65,85.55,422007,10048,43261870,204295,48.41,62.5,-58.45,Deep Industries,8
Jul-18,85,113.35,79.1,106.8,190913,4375,18246544,95880,50.22,34.25,21.8,Deep Industries,8
Aug-18,105.5,130.5,103.3,123.2,350262,8240,41451299,141676,40.45,27.2,17.7,Deep Industries,8
Sep-18,125.3,128.1,91,93.15,102221,2733,11219403,65107,63.69,37.1,-32.15,Deep Industries,8
Oct-18,90.5,107.65,84,99.25,202540,3699,18771501,137779,68.03,23.65,8.75,Deep Industries,8
Nov-18,101.7,155.2,99.5,146.35,1097914,15579,149297014,301052,27.42,55.7,44.65,Deep Industries,8
Dec-18,146,150.45,122.9,126.5,149396,2854,19625283,106418,71.23,27.55,-19.5,Deep Industries,8
Jan-19,124.2,127.5,122,123.75,37593,258,4664759,32478,86.39,5.5,-0.45,Deep Industries,8
