Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,502,604,488.25,588.7,10637111,346411,5722377793,2366159,22.24,115.75,86.7,Axis,9
Feb-15,588.7,625.9,542.1,613.4,16609109,515364,9502287978,3458624,20.82,83.8,24.7,Axis,9
Mar-15,627,655.35,526.3,560.4,17928572,540661,10544123286,3656717,20.4,129.05,-66.6,Axis,9
Apr-15,557.8,582,507.2,567.85,17928185,491570,9837617782,6070321,33.86,74.8,10.05,Axis,9
May-15,571,587,523.45,585.25,13457609,255231,7489487601,4704421,34.96,63.55,14.25,Axis,9
Jun-15,586,589.45,538.5,558.65,17326854,239155,9623541912,9506969,54.87,50.95,-27.35,Axis,9
Jul-15,559,613.4,550.4,573.75,21619494,233288,12391210932,12793876,59.18,63,14.75,Axis,9
Aug-15,575,589.65,476.25,506.7,14417846,251032,7604434001,5631175,39.06,113.4,-68.3,Axis,9
Sep-15,501,535,447.5,495.55,15827859,297534,7809774507,3630448,22.94,87.5,-5.45,Axis,9
Oct-15,502.9,532.45,465.2,474.95,17716543,270296,8859331295,7876703,44.46,67.25,-27.95,Axis,9
Nov-15,477,487.35,446,468.85,12574083,189557,5909691628,4518310,35.93,41.35,-8.15,Axis,9
Dec-15,470.1,471,429.05,449.5,12809542,202577,5734925304,4579177,35.75,41.95,-20.6,Axis,9
Jan-16,450,452.7,366.65,408.15,20235563,327868,8237033841,6909669,34.15,86.05,-41.85,Axis,9
Feb-16,410,422.4,373.3,375.25,46568739,305283,18160900079,32841956,70.52,49.1,-34.75,Axis,9
Mar-16,379.5,448.6,379.5,444.55,13667474,211073,5760962760,4458772,32.62,69.1,65.05,Axis,9
Apr-16,443.65,484.6,417.55,472.25,16878439,219759,7697114742,7216116,42.75,67.05,28.6,Axis,9
May-16,475,525,458.6,515.6,15853104,203762,7854747273,8779241,55.38,66.4,40.6,Axis,9
Jun-16,525,549.2,493,533.45,14354111,192596,7494120855,6901325,48.08,56.2,8.45,Axis,9
Jul-16,535,576.85,515,546.05,14943959,196710,8237788696,8161895,54.62,61.85,11.05,Axis,9
Aug-16,546,601.7,541,595.65,14752578,191910,8430385734,8326017,56.44,60.7,49.65,Axis,9
Sep-16,596,638,524,541.85,16395850,212596,9556985717,8167959,49.82,114,-54.15,Axis,9
Oct-16,543.95,552.95,477.5,487.8,13771770,208764,7144532977,5053220,36.69,75.45,-56.15,Axis,9
Nov-16,488.1,512.9,455,469.75,12665567,215406,6067532133,3519877,27.79,57.9,-18.35,Axis,9
Dec-16,474.95,480.25,427,450,9783760,167395,4466550826,2541789,25.98,53.25,-24.95,Axis,9
Jan-17,451,491.65,424.6,465.9,10453702,171411,4824625880,3146348,30.1,67.05,14.9,Axis,9
Feb-17,465.9,529.8,460.5,506.15,10653675,135156,5283922265,3531314,33.15,69.3,40.25,Axis,9
Mar-17,511.5,525.7,483.05,490.8,35411819,169450,17771191046,28636905,80.87,42.65,-20.7,Axis,9
Apr-17,495,525,481,509.6,10586435,117274,5361655388,3827225,36.15,44,14.6,Axis,9
May-17,509.5,534.35,490.1,514.2,11786508,117187,6019223191,3643358,30.91,44.25,4.7,Axis,9
Jun-17,514,525,484.75,516.1,6428613,62586,3276995446,2652086,41.25,40.25,2.1,Axis,9
Jul-17,517,547,501.45,518.85,8718985,103879,4550516841,3244646,37.21,45.55,1.85,Axis,9
Aug-17,518,523.4,480.25,500.65,20951059,75188,10472474753,16421889,78.38,43.15,-17.35,Axis,9
Sep-17,501,525.65,488.3,508.8,4779223,68584,2427021891,1444081,30.22,37.35,7.8,Axis,9
Oct-17,509,534.4,447.8,523.05,15948117,182671,7804453262,6468174,40.56,86.6,14.05,Axis,9
Nov-17,525,565.4,523.05,536,13443794,122071,7330320810,4604932,34.25,42.35,11,Axis,9
Dec-17,537.5,566,528,562.4,7504786,41537,4111613354,3553909,47.36,38,24.9,Axis,9
Jan-18,562.4,627.5,552.85,593.4,8667069,88950,5109513568,3170300,36.58,74.65,31,Axis,9
Feb-18,592,609,521,529.6,9308139,74409,5194975719,4005170,43.03,88,-62.4,Axis,9
Mar-18,525.45,539,495.35,509.4,6620860,55024,3433744854,2259494,34.13,43.65,-16.05,Axis,9
Apr-18,509.4,555.55,477.5,518.05,12812487,133100,6690108818,1242911,9.7,78.05,8.65,Axis,9
May-18,520,562.85,515.6,543.3,7645779,73916,4119177803,2298761,30.07,47.25,23.3,Axis,9
Jun-18,545,551.85,499.05,510.4,10556343,67018,5606756172,5902826,55.92,52.8,-34.6,Axis,9
Jul-18,511,584.95,503.5,550.1,6942928,78229,3732555925,1681525,24.22,81.45,39.1,Axis,9
Aug-18,552.45,671,538.65,649.2,12890527,146811,7937978364,2740065,21.26,132.35,96.75,Axis,9
Sep-18,650.5,676.9,548.3,612.35,13244694,167331,8337347058,2560518,19.33,128.6,-38.15,Axis,9
Oct-18,613.8,617,534.15,581.9,22417289,173017,12711099981,11383052,50.78,82.85,-31.9,Axis,9
Nov-18,580.3,638.2,580.3,625.75,17457853,164547,10770609945,6388527,36.59,57.9,45.45,Axis,9
Dec-18,630.6,649.85,580,619.8,15801976,104565,9772896659,4485651,28.39,69.85,-10.8,Axis,9
Jan-19,621.2,640.2,604.65,637.45,3849123,32355,2407818135,1642719,42.68,35.55,16.25,Axis,9
