Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,93.2,100,92,93.4,1997455,32397,192772252,961079,48.12,8,0.2,CUB,9
Feb-15,94.55,101.2,90.25,99.5,3036371,29623,286966286,1988429,65.49,10.95,4.95,CUB,9
Mar-15,99.2,102.6,93.8,96.65,3425426,15721,335150212,2430606,70.96,8.8,-2.55,CUB,9
Apr-15,97.2,98.95,91.55,94.05,2540238,13489,240012268,2089844,82.27,7.4,-3.15,CUB,9
May-15,94.6,104.05,94.3,102.9,857254,8388,85324290,364605,42.53,9.75,8.3,CUB,9
Jun-15,103.5,105.65,96,100.75,5695116,7394,574084926,4212285,73.96,9.65,-2.75,CUB,9
Jul-15,101,105.95,98,100.9,467885,4282,47313578,256126,54.74,7.95,-0.1,CUB,9
Aug-15,100.45,101.5,88,96.4,754063,7792,73509183,333742,44.26,13.5,-4.05,CUB,9
Sep-15,95.6,96.2,85.75,91.85,3440784,3654,310479241,3228917,93.84,10.45,-3.75,CUB,9
Oct-15,92.15,92.3,85.7,89.65,2150233,3224,187717182,1957461,91.03,6.6,-2.5,CUB,9
Nov-15,90,90.9,84.25,86.55,373823,2521,32575633,188159,50.33,6.65,-3.45,CUB,9
Dec-15,86,94,84.8,91.95,777462,2658,68863919,633887,81.53,9.2,5.95,CUB,9
Jan-16,91.7,92.9,76.9,79.45,1239147,3286,100320252,1039784,83.91,16,-12.25,CUB,9
Feb-16,84.8,88.7,79.4,84.3,751640,4801,62433026,494738,65.82,9.3,-0.5,CUB,9
Mar-16,83.7,96,83.7,94.8,8780815,5650,829872287,8060954,91.8,12.3,11.1,CUB,9
Apr-16,94.7,98.9,93,93.65,300903,3044,28672780,139636,46.41,5.9,-1.05,CUB,9
May-16,93.65,107.9,93.25,105.95,887525,7079,90593924,453239,51.07,14.65,12.3,CUB,9
Jun-16,106.1,119.4,103.5,116.45,853747,7760,93719470,371609,43.53,15.9,10.35,CUB,9
Jul-16,116.45,131,116.45,129.5,723634,7438,88091393,303779,41.98,14.55,13.05,CUB,9
Aug-16,130.55,136.5,123,132.3,597032,6518,77620275,220380,36.91,13.5,1.75,CUB,9
Sep-16,130.95,147.55,127.35,131.85,677515,6960,91024996,229059,33.81,20.2,0.9,CUB,9
Oct-16,131.25,150.85,131.25,150.1,8116001,8893,1199928264,7184368,88.52,19.6,18.85,CUB,9
Nov-16,150.1,152.85,128.2,135.1,6610451,7501,973659633,6206067,93.88,24.65,-15,CUB,9
Dec-16,135,144,127.35,129,370317,3411,48971182,195585,52.82,16.65,-6,CUB,9
Jan-17,131.3,155.3,128.5,149.15,584192,4622,81834714,359230,61.49,26.8,17.85,CUB,9
Feb-17,148.7,168.5,144.2,144.7,667973,8259,103415994,271960,40.71,24.3,-4,CUB,9
Mar-17,145,152.5,137,151.25,1180529,20648,170880976,556688,47.16,15.5,6.25,CUB,9
Apr-17,152,165.6,145,164.4,17462671,15244,2552686967,13926074,79.75,20.6,12.4,CUB,9
May-17,164.4,184.5,162,171.3,1515135,29567,260442147,554008,36.56,22.5,6.9,CUB,9
Jun-17,171.7,200.9,169.2,177.25,3657880,8642,653485165,3327111,90.96,31.7,5.55,CUB,9
Jul-17,176.7,186.55,157.6,176.9,963792,12273,167987727,600747,62.33,28.95,0.2,CUB,9
Aug-17,176,180,152,159.2,805504,13038,133904418,522996,64.93,28,-16.8,CUB,9
Sep-17,159.15,174,147,162.05,1700677,11364,260335746,1414468,83.17,27,2.9,CUB,9
Oct-17,162.5,166,154.05,161.1,4672597,5744,746793526,4279828,91.59,11.95,-1.4,CUB,9
Nov-17,162,170,158.6,167.35,3966731,6135,652944833,3313297,83.53,11.4,5.35,CUB,9
Dec-17,168,189,165.75,179.9,1627746,10619,290986304,1246938,76.61,23.25,11.9,CUB,9
Jan-18,176.65,208.8,158.5,159.6,1958627,7348,342853400,201361,10.28,50.3,-17.05,CUB,9
Feb-18,160,177.75,147.8,173.8,1745906,9959,291419985,1220473,69.9,29.95,13.8,CUB,9
Mar-18,173.95,185,160.75,172.6,2453035,8891,438328814,241373,9.84,24.25,-1.35,CUB,9
Apr-18,172.4,188,170,183.95,2999009,4986,542543170,2812937,93.8,18,11.55,CUB,9
May-18,183.3,203.25,176.25,195.65,2763767,10857,512666638,2298062,83.15,27,12.35,CUB,9
Jun-18,202.9,202.9,181.9,184.3,306364,3077,57500570,180716,58.99,21,-18.6,CUB,9
Jul-18,184,189.45,165,171.05,4019846,4760,697540146,3865022,96.15,24.45,-12.95,CUB,9
Aug-18,171.05,207.15,169.4,202.6,485896,8246,90104653,166339,34.23,37.75,31.55,CUB,9
Sep-18,203,203,162.2,178,1558381,5242,295067637,1314094,84.32,40.8,-25,CUB,9
Oct-18,177.4,191,157,169.55,1432290,6721,239431816,1258993,87.9,34,-7.85,CUB,9
Nov-18,169,179.4,163.15,174.05,2131724,4950,354107414,1926735,90.38,16.25,5.05,CUB,9
Dec-18,175.9,196.4,165.9,194.6,4125810,7402,763498569,3585587,86.91,30.5,18.7,CUB,9
Jan-19,196.9,196.9,187.05,189.5,731410,2350,142162047,636062,86.96,9.85,-7.4,CUB,9
