Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector ID
Jan-15,121.45,127,113.85,117.9,8915367,124808,1077432407,3870965,43.42,13.15,-3.55,DCB,9
Feb-15,117.9,123.65,105.05,113.95,4495929,77472,509967652,1724343,38.35,18.6,-3.95,DCB,9
Mar-15,116,118.15,101.15,111.25,4472683,71894,491456392,1682027,37.61,17,-4.75,DCB,9
Apr-15,111,126,110.5,121.75,7578428,107727,905533497,3168989,41.82,15.5,10.75,DCB,9
May-15,122.25,136.7,116.3,133.35,5227403,60997,668921444,1749299,33.46,20.4,11.1,DCB,9
Jun-15,133.3,134.3,120.1,130.2,4267005,51577,545208395,1399671,32.8,14.2,-3.1,DCB,9
Jul-15,130.1,150.9,128.3,132.3,6876920,73119,943638284,2309265,33.58,22.6,2.2,DCB,9
Aug-15,132,141.5,110.6,128.8,3551959,44835,471750079,1260750,35.49,30.9,-3.2,DCB,9
Sep-15,127.5,145.3,121.1,142.7,2608773,37369,346792850,913064,35,24.2,15.2,DCB,9
Oct-15,143.75,143.85,86.2,86.6,18032904,124580,1817712533,5954020,33.02,57.65,-57.15,DCB,9
Nov-15,87.05,88.75,80,85.65,4330316,35995,364608069,1836269,42.4,8.75,-1.4,DCB,9
Dec-15,86,86.7,75.2,81.55,5013567,37188,400689064,2240129,44.68,11.5,-4.45,DCB,9
Jan-16,81.65,82.65,68.5,78.4,5835358,41702,444881801,2629830,45.07,14.15,-3.25,DCB,9
Feb-16,77.5,82.75,68.7,70.9,2917066,27527,218554703,1001636,34.34,14.05,-6.6,DCB,9
Mar-16,71.45,80.1,70.85,78.95,2790138,23169,213314790,1303146,46.71,9.25,7.5,DCB,9
Apr-16,78.1,101.9,78.1,94.2,4942757,51044,453707094,1501157,30.37,23.8,16.1,DCB,9
May-16,93.95,96.2,87.4,94.25,3478513,33964,320023191,1325633,38.11,8.8,0.3,DCB,9
Jun-16,95.2,101.25,91.95,97.2,3417120,33356,328261928,1114270,32.61,9.3,2,DCB,9
Jul-16,97.95,114.3,97.4,111,7516328,56914,773119976,4174806,55.54,16.9,13.05,DCB,9
Aug-16,111.9,122.4,106,120.1,3691902,42308,418719653,1278758,34.64,16.4,8.2,DCB,9
Sep-16,119.9,126.8,115,124.95,3855783,44620,469198802,1662270,43.11,11.8,5.05,DCB,9
Oct-16,126,132.7,119.5,131.85,4789023,40836,605070496,2575034,53.77,13.2,5.85,DCB,9
Nov-16,131.2,132,100,111.55,8548029,60248,1011817004,4480580,52.42,32,-19.65,DCB,9
Dec-16,111.75,112.25,102.5,107.9,1804858,24865,193009014,679481,37.65,9.75,-3.85,DCB,9
Jan-17,107.7,127,106.65,118.4,4603561,39850,545475112,1812240,39.37,20.35,10.7,DCB,9
Feb-17,117.95,158.4,117.5,155.95,5857222,64402,834587105,1791235,30.58,40.9,38,DCB,9
Mar-17,156,172.2,152,170.65,5878759,48158,961119453,2440252,41.51,20.2,14.65,DCB,9
Apr-17,170.7,185.65,166.8,183.3,7285748,48991,1289118101,2133640,29.29,18.85,12.6,DCB,9
May-17,183.85,200.4,181.2,191.1,5906743,51589,1139550778,1298897,21.99,19.2,7.25,DCB,9
Jun-17,191.5,213,189.45,198.5,4921718,43211,999593403,1111073,22.57,23.55,7,DCB,9
Jul-17,199.9,206,190.85,195,7521779,37881,1470218452,4140451,55.05,15.15,-4.9,DCB,9
Aug-17,195.55,202.9,166.15,183.7,5334742,40550,982090445,2264824,42.45,36.75,-11.85,DCB,9
Sep-17,189,198.6,172,181.95,2993548,30468,559738862,813192,27.16,26.6,-7.05,DCB,9
Oct-17,182,194,175,178.1,2234569,21510,410706425,554134,24.8,19,-3.9,DCB,9
Nov-17,180,192.15,171.95,185.45,2826444,28657,512882051,931481,32.96,20.2,5.45,DCB,9
Dec-17,184.95,199.8,179,195.55,5281950,19615,1015416152,4072516,77.1,20.8,10.6,DCB,9
Jan-18,195.65,206.5,173,173.85,2580071,23547,496815087,816595,31.65,33.5,-21.8,DCB,9
Feb-18,173.7,177,156,164,2535312,21696,423971893,564514,22.27,21,-9.7,DCB,9
Mar-18,163.8,166.3,154.85,161.4,3701095,12386,598998919,2387566,64.51,11.45,-2.4,DCB,9
Apr-18,162,204.55,161.3,194.9,3858382,34529,737732469,883847,22.91,43.25,32.9,DCB,9
May-18,197.1,201.75,178.1,185.45,2625021,16987,500248412,1422025,54.17,23.65,-11.65,DCB,9
Jun-18,184.3,186.3,161.1,164.85,4563523,11517,815774164,3712991,81.36,25.2,-19.45,DCB,9
Jul-18,166.25,187,156,164.25,2703590,31231,452468538,642348,23.76,31,-2,DCB,9
Aug-18,164.4,179.85,160.65,178.65,2320826,12544,393597088,1518712,65.44,19.2,14.25,DCB,9
Sep-18,178.6,179.95,142.25,147.2,3463152,18527,561053665,1801207,52.01,37.7,-31.4,DCB,9
Oct-18,146.9,173.35,139.5,158.9,3063933,37501,477390003,426346,13.91,33.85,12,DCB,9
Nov-18,158.95,168,152.55,156.6,1095215,9972,173672763,327362,29.89,15.45,-2.35,DCB,9
Dec-18,156.6,169.5,148,168.65,2034999,12194,321068538,980467,48.18,21.5,12.05,DCB,9
Jan-19,169.6,178.2,165,172.95,749679,6638,129820977,217609,29.03,13.2,3.35,DCB,9
